SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI
2023-2024,NJ,Greenwich Township School District,NJ-111820,3406150,839 YE GREATE STREET,NA,NA,GREENWICH,08323,http://www.greenwichstowcreekpartnershipschools.org,Yes,PK,08
2023-2024,NJ,Greenwich Township School District,NJ-151830,3406180,415 Swedesboro Road,NA,NA,Gibbstown,08027,http://www.greenwich.k12.nj.us,Yes,PK,08
2023-2024,NJ,Greenwich Township School District,NJ-411840,3406210,101 Wyndham Farm Boulevard,NA,NA,Stewartsville,08886,http://www.gtsd.net,Yes,PK,08
2023-2024,NJ,Guttenberg School District,NJ-171850,3406240,301 69th Street,NA,NA,Guttenberg,07093,http://www.alkschool.org,Yes,PK,08
2023-2024,NJ,Hainesport Township School District,NJ-051910,3406420,211 Broad St.,NA,NA,Hainesport,08036,http://www.hainesport.k12.nj.us,Yes,PK,08
2023-2024,NJ,Haledon Public School District,NJ-311920,3406450,91 Henry Street,NA,NA,Haledon,07508,http://www.haledon.org,Yes,PK,08
2023-2024,NJ,Hamburg School District,NJ-371930,3406480,30 Linwood Ave.,NA,NA,Hamburg,07419,http://www.hamburgschool.com,Yes,PK,08
2023-2024,NJ,Hamilton Township School District,NJ-011940,3406510,1876 DR. DENNIS FOREMAN DR.,NA,NA,MAYS LANDING,08330,http://www.hamiltonschools.org,Yes,PK,08
2023-2024,NJ,Hampton Township School District,NJ-371980,3406630,1 School Road,NA,NA,Newton,07860,http://www.mckeown.org,Yes,PK,06
2023-2024,NJ,Hanover Township School District,NJ-272000,3406690,61 Highland Avenue,NA,NA,Whippany,07981,http://www.hanovertwpschools.com,Yes,PK,08
2023-2024,NJ,Harding Township School District,NJ-272010,3406720,34 Lees Hill Road,NA,NA,New Vernon,07976,http://www.hardingtwp.org,Yes,PK,08
2023-2024,NJ,Hardyston Township School District,NJ-372030,3406780,183 Wheatsworth Road,NA,NA,Hamburg,07419,http://www.htps.org,Yes,PK,08
2023-2024,NJ,Harmony Township School District,NJ-412040,3406810,2551 BELVIDERE ROAD,NA,NA,PHILLIPSBURG,08865,http://www.htesd.org,Yes,PK,08
2023-2024,NJ,Harrington Park School District,NJ-032050,3406840,191 Harriot Avenue,NA,NA,Harrington Park,07640,http://www.hpsd.org,Yes,PK,08
2023-2024,NJ,Harrison Township School District,NJ-152070,3406900,120 N. Main Street,NA,NA,Mullica Hill,08062,http://www.harrisontwp.k12.nj.us,Yes,PK,06
2023-2024,NJ,Haworth Public School District,NJ-032090,3406960,205 Valley Road,NA,NA,Haworth,07641,http://www.haworth.org,Yes,PK,08
2023-2024,NJ,High Bridge Borough School District,NJ-192140,3407110,40 Fairview Ave,NA,NA,HIGH BRIDGE,08829,http://www.hbschools.org,Yes,PK,08
2023-2024,NJ,Highlands Borough School District,NJ-252160,3407200,360 Navesink Ave,NA,NA,Highlands,07732,http://www.HighlandsElementary.org,Yes,PK,06
2023-2024,NJ,Hillsdale School District,NJ-032180,3407260,32 RUCKMAN ROAD,NA,NA,HILLSDALE,07642,http://www.hillsdaleschools.com,Yes,PK,08
2023-2024,NJ,Ho-Ho-Kus School District,NJ-032200,3407320,70 Lloyd Road,NA,NA,Ho-Ho-Kus,07423,http://www.hohokus.org,Yes,PK,08
2023-2024,NJ,Holland Township School District,NJ-192220,3407380,710 Milford Warren Glen Rd.,NA,NA,Milford,08848,http://www.hollandschool.org,Yes,PK,08
2023-2024,NJ,Hope Township School District,NJ-412250,3407470,320 Johnsonburg Road,NA,NA,Hope,07844,http://www.hope-elem.org,Yes,PK,08
2023-2024,NJ,Hopewell Township School District,NJ-112270,3407500,122 Sewall Road,NA,NA,Bridgeton,08302,http://hopewellcrest.org,Yes,PK,08
2023-2024,NJ,Howell Township Public School District,NJ-252290,3407560,4567 US Route 9,Suite D,NA,Howell Twp,07731,http://www.howell.k12.nj.us/,Yes,PK,08
2023-2024,NJ,Island Heights School District,NJ-292350,3407710,115 Summit Avenue,NA,NA,Island Heights,08732,http://www.islandheights.k12.nj.us,Yes,PK,06
2023-2024,NJ,Jamesburg Public School District,NJ-232370,3407770,13 AUGUSTA STREET,NA,NA,JAMESBURG,08831,http://www.jamesburg.org,Yes,PK,08
2023-2024,NJ,Kingwood Township School District,NJ-192450,3408010,880 COUNTY RD 519,NA,NA,Frenchtown,08825,http://WWW.KINGWOODSCHOOL.ORG,Yes,PK,08
2023-2024,NJ,Knowlton Township School District,NJ-412470,3408070,80 Route 46,NA,NA,Delaware,07833,http://www.knowltonschool.com,Yes,PK,06
2023-2024,NJ,Lafayette Township School District,NJ-372490,3408130,178 Beaver Run Road,NA,NA,Lafayette,07848,http://www.ltes.org,Yes,PK,08
2023-2024,NJ,Lakehurst School District,NJ-292500,3408160,401 UNION AVENUE,NA,NA,LAKEHURST,08733,http://www.lakehurstschool.org,Yes,PK,08
2023-2024,NJ,Laurel Springs School District,NJ-072540,3408280,623 Grand Ave.,NA,NA,Laurel Springs,08021,http://www.laurelspringschool.org,Yes,PK,06
2023-2024,NJ,Lavallette Borough School District,NJ-292550,3408310,105 Brooklyn Avenue,NA,NA,Lavallette,08735,http://www.lavallettek12.org,Yes,PK,08
2023-2024,NJ,Lawnside School District,NJ-072560,3408340,426   East Charleston Avenue,NA,NA,Lawnside,08045,http://lawnside.k12.nj.us,Yes,PK,08
2023-2024,NJ,Lawrence Township School District,NJ-112570,3408370,225 Main Street,NA,NA,Cedarville,08311,http://www.myronlpowell.org,Yes,PK,08
2023-2024,NJ,Lebanon Borough School District,NJ-192590,3408430,6 Maple Street,NA,NA,Lebanon,08833,http://www.lebanonschool.org,Yes,PK,06
2023-2024,NJ,Lebanon Township School District,NJ-192600,3408460,70 Bunnvale Road,NA,NA,Califon,07830,http://www.lebtwpk8.org,Yes,PK,08
2023-2024,NJ,Lincoln Park School District,NJ-272650,3408580,92 Ryerson Road,NA,NA,Lincoln Park,07035,http://www.lincolnparkboe.org,Yes,PK,08
2023-2024,NJ,Linwood City School District,NJ-012680,3408670,51 Belhaven Avenue,NA,NA,Linwood,08221,http://www.linwoodschools.org,Yes,PK,08
2023-2024,NJ,Little Egg Harbor Township School District,NJ-292690,3408700,307 Frog Pond Road,NA,NA,Little Egg Harbor,08087,http://www.lehsd.org,Yes,PK,06
2023-2024,NJ,Little Falls Township Public School District,NJ-312700,3408730,Little Falls School # 1,32 Stevens Ave.,NA,Little Falls,07424,http://www.lfschools.org,Yes,PK,08
2023-2024,NJ,Little Ferry Public School District,NJ-032710,3408760,130 Liberty Street,NA,NA,Little Ferry,07643,http://www.lfboe.org,Yes,PK,08
2023-2024,NJ,Little Silver Boro School District,NJ-252720,3408790,124 WILLOW DRIVE,NA,NA,LITTLE SILVER,07739,http://WWW.LITTLESILVERSCHOOLS.ORG,Yes,PK,08
2023-2024,NJ,Logan Township School District,NJ-152750,3408880,110 School Lane,NA,NA,Logan Township,08085,http://www.logantownshipschools.org,Yes,PK,08
