district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Oceanport Boro,NJ-253830,21824,13011,2810
Red Bank Boro,NJ-254360,24272,13245,2504
Red Bank Regional,NJ-254365,22930,12836,2524
Roosevelt Boro,NJ-254520,25644,14838,2255
Rumson Boro,NJ-254570,22125,13118,2100
Rumson-Fair Haven Reg,NJ-254580,23642,11496,2565
Sea Girt Boro,NJ-254690,30856,17659,2379
Shore Regional,NJ-254760,28375,14111,2550
Shrewsbury Boro,NJ-254770,21627,12999,2388
Spring Lake Boro,NJ-254980,40680,20987,2797
Spring Lake Heights Boro,NJ-254990,22259,12744,2645
Tinton Falls,NJ-255185,22235,13494,2099
Union Beach,NJ-255230,16390,9942,2117
Upper Freehold Regional,NJ-255310,18124,9552,2071
Wall Twp,NJ-255420,23754,13706,2583
West Long Branch Boro,NJ-255640,21380,12050,2468
Loch Arbour School District,NJ-255645,0,0,0
Boonton Town,NJ-270450,20515,12006,1691
Boonton Twp,NJ-270460,23699,14451,2655
Butler Boro,NJ-270630,22745,11813,3478
Sch Dist of the Chathams,NJ-270785,18993,11182,1955
Chester Twp,NJ-270820,21386,11656,2734
Denville Twp,NJ-271090,21084,12616,2214
Dover Town,NJ-271110,20861,11727,1990
East Hanover Twp,NJ-271190,22807,13461,2592
Florham Park Boro,NJ-271530,22562,12732,2535
Hanover Park Regional,NJ-271990,27254,13245,3021
Hanover Twp,NJ-272000,23072,12986,2587
Harding Township,NJ-272010,30476,16408,2751
Jefferson Twp,NJ-272380,20551,11559,2151
Kinnelon Boro,NJ-272460,24675,13771,2325
Lincoln Park Boro,NJ-272650,17867,11723,1654
Madison Boro,NJ-272870,19769,11223,2179
Mendham Boro,NJ-273090,23484,12453,2786
Mendham Twp,NJ-273100,24728,14628,2361
Mine Hill Twp,NJ-273240,22774,12330,2857
Montville Twp,NJ-273340,23032,14081,2142
Morris County Vocational,NJ-273365,14722,9095,1907
Morris Hills Regional,NJ-273370,25190,13278,2632
Morris Plains Boro,NJ-273380,23117,14224,2465
Morris School District,NJ-273385,20972,11527,2282
Mount Arlington Boro,NJ-273410,24727,12877,2556
Mount Olive Twp,NJ-273450,22340,11947,2359
Mountain Lakes Boro,NJ-273460,28178,16838,2782
Netcong Boro,NJ-273520,24145,13046,3037
Parsippany-Troy Hills Twp,NJ-273950,20200,11370,1990
Long Hill Twp,NJ-274000,20781,10892,2421
Pequannock Twp,NJ-274080,21059,12575,2099
Randolph Twp,NJ-274330,20627,10752,2678
Riverdale Boro,NJ-274440,24197,13362,2776
Rockaway Boro,NJ-274480,21162,12195,1954
Rockaway Twp,NJ-274490,24589,12258,5398
Roxbury Twp,NJ-274560,21181,12059,2421
Washington Twp,NJ-275520,20126,12755,1709
West Morris Regional,NJ-275660,23207,12041,2844
Wharton Boro,NJ-275770,24796,15418,2296
Barnegat Twp,NJ-290185,17369,10032,1604
Bay Head Boro,NJ-290210,27892,15573,2443
Beach Haven Boro,NJ-290230,37201,18796,2366
Berkeley Twp,NJ-290320,16698,9844,1671
Brick Twp,NJ-290530,16983,9910,1416
Central Regional,NJ-290770,17630,9972,1728
Eagleswood Twp,NJ-291150,22792,14824,1790
Island Heights Boro,NJ-292350,20996,13372,2393
Jackson Twp,NJ-292360,16866,9631,1686
Lacey Twp,NJ-292480,18107,11068,1419
Lakehurst Boro,NJ-292500,16440,10649,1878
Lavallette Boro,NJ-292550,22968,12763,2179
Little Egg Harbor Twp,NJ-292690,19648,12402,1390
Long Beach Island,NJ-292760,38834,20911,3014
Manchester Twp,NJ-292940,19398,11765,1841
Ocean County Vocational,NJ-293790,12664,7303,2797
Ocean Gate Boro,NJ-293800,26217,16063,2319
Ocean Twp,NJ-293820,18877,11237,1475
Pinelands Regional,NJ-294105,21602,12022,2255
Plumsted Twp,NJ-294190,18307,10262,2146
Point Pleasant Boro,NJ-294210,16383,9245,1832
Point Pleasant Beach Boro,NJ-294220,26190,14462,2373
Seaside Heights Boro,NJ-294710,29845,17072,2423
Southern Regional,NJ-294950,21565,12299,2012
Stafford Twp,NJ-295020,17572,10348,1782
Toms River Regional,NJ-295190,15342,9131,1566
