DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Asbury Park School District,NJ-250100,2023-24,38.0,43.5,36,37,37.5,35,38,39,39.5,43,46,14.5,<10%,17.6,NA,NA,NA,NA,NA,NA,NA,NA,<10%,<10%,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9:1,76:1,169,19.7,16.1,87.0,0,6.5,266,21.9,21.4,69.3,266,98,85,79,107,81,88,97,100,94,107,88,76,84,1450
Atlantic Highlands School District,NJ-250130,2023-24,29.0,55.0,31,33,27,NA,NA,44,57,73.5,NA,56.3,27.3,65.7,NA,NA,NA,NA,NA,NA,NA,0.07566176470588235,51.9,27.3,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12463235294117647,0.12463235294117647,8:1,53:1,33,15.2,14.1,75.8,0,0,12,4.8,25.4,14.4,16,36,31,44,40,32,40,25,0,0,0,0,0,0,264
Avon Boro School District,NJ-250180,2023-24,62.5,56.0,*,*,*,67.5,*,*,*,*,69.5,74.2,40.0,80.8,NA,NA,NA,NA,NA,NA,NA,NA,69.4,50.0,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15384615384615385,0.15384615384615385,6:1,39:1,20,12.3,6.0,50.0,5.0,0,0,0,12.8,12.0,13,11,17,13,12,8,9,9,14,11,0,0,0,0,117
Belmar Elementary School District,NJ-250270,2023-24,50.5,44.0,38.5,54,53.5,56,43.5,32.5,80.5,42,44,58.8,19.6,71.8,NA,NA,NA,NA,NA,NA,NA,0.18502242152466367,45.8,14.3,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09607929515418503,0.11713483146067416,8:1,103:1,52,15.0,12.2,84.6,0,1.9,39,11.1,22.9,52.4,58,37,30,53,35,32,31,41,41,51,0,0,0,0,410
Bradley Beach School District,NJ-250500,2023-24,51.0,65.0,59.5,43.5,29.5,68,51.5,48,64,72,71.5,50.9,24.0,58.8,NA,NA,NA,NA,NA,NA,NA,0.124375,37.3,16.0,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10533333333333333,0.11765957446808512,6:1,65:1,34,11.9,9.7,73.5,5.9,0,13,8.3,20.6,59.3,36,15,15,15,19,14,23,21,17,19,0,0,0,0,194
Brielle Boro School District,NJ-250560,2023-24,53.0,52.5,49,60,53.5,69,21,55,64,40,51.5,74.4,40.0,85.5,NA,NA,NA,NA,NA,NA,NA,0.23250814332247555,59.2,21.3,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09956810631229235,0.1030952380952381,8:1,119:1,56,12.3,12.3,71.4,1.8,0,15,3.3,24.8,2.9,20,52,49,46,44,51,49,58,56,50,0,0,0,0,475
Colts Neck Township School District,NJ-250945,2023-24,55.0,58.0,80,55,59,50,38,61,58,48,58,76.5,26.8,86.8,NA,NA,NA,NA,NA,NA,NA,0.3021326164874552,73.8,30.9,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19547406082289803,0.21035714285714285,7:1,82:1,134,15.0,12.4,71.2,2.2,7.5,112,11.9,17.8,4.4,39,99,101,112,104,106,104,103,104,107,0,0,0,0,979
Deal Boro School District,NJ-251000,2023-24,42.0,47.0,42,35.5,58,45,29,12.5,40.5,94,51,45.6,14.8,56.6,NA,NA,NA,NA,NA,NA,NA,0.010294117647058823,37.9,14.8,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030306122448979594,0.03375,7:1,78:1,21,7.2,7.2,60.0,14.3,4.8,16,10.3,12.2,18.6,0,14,18,18,18,21,19,17,15,16,0,0,0,0,156
Eatontown Public School District,NJ-251260,2023-24,42.0,43.0,41,46,41.5,55,26.5,51,43,47,40,53.3,14.3,62.9,NA,NA,NA,NA,NA,NA,NA,0.12394444444444445,42.6,14.4,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06735135135135135,0.07645788336933045,10:1,144:1,100,12.3,11.5,81.0,0,9.0,155,18.1,20.9,42.9,153,92,106,101,100,99,97,82,85,95,0,0,0,0,1010
Fair Haven School District,NJ-251440,2023-24,47.0,55.0,58,42,37,68,41.5,45,56,63,52,81.9,40.7,91.0,NA,NA,NA,NA,NA,NA,NA,0.3276755852842809,78.3,42.6,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22904522613065328,0.22881250000000003,10:1,136:1,98,10.9,10.8,80.6,1.0,4.1,44,4.8,15.6,0.4,44,103,89,117,101,112,86,107,95,100,0,0,0,0,954
Farmingdale Public School District,NJ-251490,2023-24,47.0,48.0,44,34,63.5,*,9,19,54,55.5,*,51.2,23.5,58.2,NA,NA,NA,NA,NA,NA,NA,0.1442857142857143,34.5,11.8,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041690140845070424,0.041690140845070424,7:1,57:1,25,11.6,6.9,56.0,0,3.8,22,15.5,20.0,16.5,26,21,13,17,16,17,15,18,13,14,0,0,0,0,170
Freehold Borough School District,NJ-251640,2023-24,52.0,46.0,59.5,56.5,30,52,60.5,59,42,42,41,40.4,11.1,46.8,NA,NA,NA,NA,NA,NA,NA,0.08430703624733475,25.6,<10%,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020953846153846153,0.025633626097867002,10:1,144:1,166,11.7,8.4,70.1,4.2,13.3,169,11.6,20.1,76.7,136,137,161,165,158,148,159,166,171,180,0,0,0,0,1581
Freehold Township School District,NJ-251660,2023-24,50.0,48.0,54.5,56,44,38.5,57.5,39,55,48.5,48,63.8,25.8,73.6,NA,NA,NA,NA,NA,NA,NA,0.16874999999999998,56.8,21.7,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11919631093544138,0.1270123589468028,10:1,146:1,347,12.7,11.0,77.2,0.3,11.2,460,13.8,19.9,13.6,158,322,329,368,357,395,379,377,392,413,0,0,0,0,3490
Hazlet Township Public School District,NJ-252105,2023-24,44.0,49.0,55.5,65,70,17,24,47,50,66,33,55.7,22.3,65.0,NA,NA,NA,NA,NA,NA,NA,0.11763295880149814,41.8,18.7,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05401332223147377,0.0688829215896885,12:1,128:1,217,13.2,13.2,78.8,3.2,1.8,289,11.3,20.9,18.2,163,193,183,185,217,183,194,188,183,197,197,174,201,220,2678
Henry Hudson Regional School District,NJ-252120,2023-24,26.0,37.5,NA,NA,NA,25,26.5,NA,NA,NA,37.5,52.4,25.0,64.7,NA,NA,NA,NA,NA,NA,NA,0.14928571428571427,36.1,15.4,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07472727272727273,0.11,7:1,51:1,41,11.7,10.9,70.7,9.8,2.4,52,17.9,21.2,18.0,0,0,0,0,0,0,0,0,61,60,51,34,46,54,306
Highlands Borough School District,NJ-252160,2023-24,45.0,41.0,45,49.5,44,NA,NA,20,42,50,NA,49.5,<10%,62.0,NA,NA,NA,NA,NA,NA,NA,0.06622222222222222,31.2,10.0,37.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0410752688172043,0.0410752688172043,6:1,32:1,25,12.7,10.7,72.0,4.0,0,22,15.6,22.8,39.5,21,20,17,11,23,20,30,20,0,0,0,0,0,0,162
Holmdel Township School District,NJ-252230,2023-24,54.0,66.0,59,64.5,71,34,37,70,67,76,45.5,79.0,41.7,85.2,NA,NA,NA,NA,NA,NA,NA,0.34089895013123356,71.5,29.7,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23312005277044856,0.2873547094188377,10:1,145:1,290,10.7,10.7,67.9,0.3,1.7,455,16.2,13.1,2.4,88,164,182,200,190,198,214,210,242,253,239,228,247,239,2894
Howell Township Public School District,NJ-252290,2023-24,48.0,54.0,53,48.5,52,48,40,54,57,50,54,54.0,15.4,63.5,NA,NA,NA,NA,NA,NA,NA,0.12759781357882624,44.3,12.0,52.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059448529411764706,0.06366666666666668,12:1,158:1,503,14.1,13.5,77.3,4.4,13.1,1034,19.5,19.6,22.8,494,543,550,578,604,609,581,626,642,626,0,0,0,0,5853
Keansburg School District,NJ-252400,2023-24,48.0,45.0,40.5,55,41.5,54,45,41,40,57,40,24.1,<10%,32.9,NA,NA,NA,NA,NA,NA,NA,0.04098118279569892,13.5,<10%,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010434782608695651,0.014328358208955224,11:1,115:1,134,16.6,16.6,92.5,0,3.7,454,33.8,28.3,52.7,165,108,84,121,83,119,114,119,101,121,87,102,86,83,1493
Keyport School District,NJ-252430,2023-24,39.0,59.5,36.5,66,57,40,14,53,70,50,64.5,49.6,<10%,60.5,NA,NA,NA,NA,NA,NA,NA,0.12621749408983451,32.5,<10%,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038564814814814816,0.059288256227758004,10:1,97:1,100,10.9,10.9,63.0,1.0,1.0,164,18.1,16.1,59.0,95,51,64,51,52,56,53,68,58,68,84,112,72,89,973
Little Silver Boro School District,NJ-252720,2023-24,60.0,70.0,52,75,65,54,51,51.5,65.5,88,57,89.3,65.3,93.7,NA,NA,NA,NA,NA,NA,NA,0.4564025695931478,86.1,45.8,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30376873661670234,0.27487465181058496,9:1,102:1,78,11.5,11.0,70.5,1.3,0,34,5.0,14.4,0.0,32,70,61,82,74,78,59,87,85,89,0,0,0,0,717
Long Branch Public School District,NJ-252770,2023-24,51.0,48.0,49,50,48,60,49.5,40,61,44,44,26.2,12.0,28.5,NA,NA,NA,NA,NA,NA,NA,0.037785288270377734,16.8,12.7,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007073446327683616,0.009984051036682616,11:1,122:1,499,12.7,11.0,71.9,0.8,5.2,1100,22.5,12.3,69.0,645,342,344,379,376,379,391,368,404,382,378,355,370,393,5506
Manalapan-Englishtown Regional School District,NJ-252920,2023-24,56.0,50.0,61,63,49.5,54,52,57,51.5,45,49,74.7,29.1,82.3,NA,NA,NA,NA,NA,NA,NA,0.2798434504792332,67.8,27.0,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16046586865092202,0.17362663495838287,12:1,174:1,378,13.0,13.0,82.8,0,4.0,357,7.8,15.5,11.1,115,404,453,465,453,535,498,599,605,564,0,0,0,0,4691
Manasquan School District,NJ-252930,2023-24,48.0,57.5,72,40,50,53.5,40,75,49,55.5,53,68.3,26.3,77.8,NA,NA,NA,NA,NA,NA,NA,0.18536821705426354,50.3,24.7,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038365384615384614,0.07658227848101265,10:1,103:1,144,13.9,12.3,88.9,0,0.7,175,12.4,16.8,9.2,53,47,43,47,48,43,54,45,59,66,223,225,230,258,1441
Marlboro Township School District,NJ-253030,2023-24,50.0,48.0,57.5,59,44,45,43,54,56,36,44,73.0,29.7,81.0,NA,NA,NA,NA,NA,NA,NA,0.26388958990536276,65.5,24.4,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1938456692913386,0.19848937844217152,11:1,182:1,423,13.2,11.6,81.3,0.7,0.9,514,11.5,16.5,8.0,76,345,445,447,493,501,531,478,626,599,0,0,0,0,4541
Matawan-Aberdeen Regional School District,NJ-253040,2023-24,50.0,48.0,40,51.5,55,42,63.5,53,43,50,47,60.5,20.9,70.7,NA,NA,NA,NA,NA,NA,NA,0.19750414135836555,42.6,14.6,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05585746102449889,0.06464536243180047,11:1,167:1,353,11.2,11.2,68.6,4.0,0.3,439,12.4,20.3,27.1,441,282,271,273,262,260,275,279,280,244,307,263,258,309,4004
Middletown Township Public School District,NJ-253160,2023-24,49.0,46.0,50.5,48,45,51,49,54,41,40,48,60.6,20.9,72.1,NA,NA,NA,NA,NA,NA,NA,0.16638851802403204,52.7,18.8,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07792503346720214,0.09745122718691,11:1,183:1,773,14.6,12.3,80.3,0.1,4.8,818,9.5,22.3,10.8,242,637,644,674,614,620,684,649,648,722,622,683,662,690,8791
Millstone Township School District,NJ-253200,2023-24,41.0,50.0,69,39,52.5,20,33,70,51,45.5,32,64.7,18.8,70.6,NA,NA,NA,NA,NA,NA,NA,0.16997322623828648,54.5,15.3,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1004539385847797,0.11319218241042345,10:1,107:1,122,14.6,11.7,72.0,5.7,0.8,104,9.6,13.3,3.7,84,83,129,111,118,99,132,165,121,132,0,0,0,0,1174
Monmouth Beach School District,NJ-253250,2023-24,45.0,57.0,70,35.5,43,77,26,74,47,55.5,73,79.1,<10%,86.2,NA,NA,NA,NA,NA,NA,NA,0.2911194029850746,73.9,<10%,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18626865671641793,0.2105769230769231,8:1,64:1,34,13.0,8.8,64.7,0,8.8,19,9.0,13.6,0.0,45,25,27,18,21,16,26,24,25,30,0,0,0,0,257
Neptune City School District,NJ-253500,2023-24,26.5,42.0,32.5,27,31,36,22,65,36,28,39,19.0,<10%,24.1,NA,NA,NA,NA,NA,NA,NA,NA,16.1,<10%,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006486486486486486,0.007868852459016393,9:1,91:1,32,9.6,9.3,71.9,6.3,0,72,30.8,18.2,46.0,48,27,23,30,26,19,31,14,30,26,0,0,0,0,274
Neptune Township School District,NJ-253510,2023-24,50.0,43.0,51.5,52,46,41,56,53,47,36,41,35.1,10.6,43.1,NA,NA,NA,NA,NA,NA,NA,0.06697802197802198,20.5,<10%,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016896095301125083,0.022482758620689654,10:1,119:1,334,14.8,13.7,85.3,1.5,4.5,806,26.9,23.2,57.6,402,195,235,205,214,203,213,202,196,224,258,270,285,239,3341
Township of Ocean School District,NJ-253810,2023-24,43.5,40.0,51,45,33,52,42,51,38,32,42,57.1,17.6,68.4,NA,NA,NA,NA,NA,NA,NA,0.1475779694757797,40.8,12.0,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050594382756368385,0.06540413533834587,9:1,135:1,344,13.3,12.4,82.8,0.6,0.3,304,10.4,20.8,30.4,310,204,210,216,195,226,215,220,222,211,253,243,232,249,3206
Oceanport School District,NJ-253830,2023-24,59.0,49.0,51,50,62.5,76.5,42.5,53.5,53,26,66.5,65.4,34.0,76.9,NA,NA,NA,NA,NA,NA,NA,0.22560606060606062,65.2,35.8,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10936868686868688,0.12345161290322582,10:1,99:1,59,15.6,12.2,74.6,0,3.4,35,6.4,24.4,7.7,50,59,51,40,63,57,63,66,66,80,0,0,0,0,595
Red Bank Borough Public School District,NJ-254360,2023-24,46.0,58.0,37,52,54,48,42,35,53.5,68,67,43.2,14.4,50.4,NA,NA,NA,NA,NA,NA,NA,0.08128205128205128,31.7,12.2,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02966987620357634,0.034115702479338844,10:1,126:1,132,9.8,8.1,72.0,0,5.3,58,5.4,19.1,77.5,185,98,114,136,121,117,121,124,125,122,0,0,0,0,1263
Roosevelt Borough Public School District,NJ-254520,2023-24,46.0,18.0,24,60.5,NA,NA,NA,10,36,NA,NA,61.1,*,70.4,NA,NA,NA,NA,NA,NA,NA,NA,44.4,*,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,29:1,44:1,3,16.3,8.3,66.7,0,0,11,14.9,15.9,4.5,15,18,8,11,9,11,16,0,0,0,0,0,0,0,88
Rumson Borough School District,NJ-254570,2023-24,66.0,53.0,49,85,66,80.5,46,55.5,63,48,39,90.8,59.7,95.4,NA,NA,NA,NA,NA,NA,NA,0.5457903494176373,87.5,54.5,92.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3447927031509121,0.3416452991452992,10:1,132:1,95,15.0,12.1,74.5,0,0,44,5.0,11.4,0.3,48,97,86,91,77,117,87,114,97,113,0,0,0,0,927
Sea Girt Borough School District,NJ-254690,2023-24,53.0,65.0,54,33,55,*,58,38.5,58.5,74,*,95.6,72.7,98.8,NA,NA,NA,NA,NA,NA,NA,NA,84.6,54.5,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28609195402298854,0.2972727272727273,5:1,71:1,26,15.0,10.7,87.5,7.7,0,8,6.3,9.9,0.0,14,18,7,9,14,18,14,17,15,15,0,0,0,0,141
Shrewsbury Borough School District,NJ-254770,2023-24,47.0,58.0,49.5,61,46,46,28,33,71,76,49,73.5,37.5,85.4,NA,NA,NA,NA,NA,NA,NA,0.2607266435986159,73.2,34.7,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2621799307958477,0.26732217573221756,9:1,115:1,51,10.6,10.6,76.5,2.0,9.8,22,5.0,21.1,0.9,23,43,44,61,48,65,45,48,33,50,0,0,0,0,460
Spring Lake Borough,NJ-254980,2023-24,53.0,74.0,64.5,36,68,70,41.5,52.5,60.5,88,55.5,92.0,80.0,94.4,NA,NA,NA,NA,NA,NA,NA,0.472183908045977,87.4,66.7,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35940298507462687,0.35940298507462687,6:1,48:1,24,17.0,13.0,79.2,12.5,0,11,8.6,15.4,4.2,15,17,12,13,11,13,14,15,14,19,0,0,0,0,143
Spring Lake Heights School District,NJ-254990,2023-24,57.0,50.0,44,57,80,66,42,46,47,65.5,75,73.3,26.5,83.2,NA,NA,NA,NA,NA,NA,NA,0.2006666666666667,63.6,32.4,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04220430107526882,0.05097402597402597,7:1,101:1,41,13.5,9.4,65.9,0,9.8,15,5.3,18.5,6.6,22,34,22,25,36,32,38,29,30,35,0,0,0,0,303
Tinton Falls School District,NJ-255185,2023-24,56.0,44.5,49,61.5,63,55,56.5,47,52,38,43,61.7,23.7,74.4,NA,NA,NA,NA,NA,NA,NA,0.20497630331753555,45.3,19.0,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06697149643705463,0.07887464387464388,8:1,134:1,163,11.4,10.7,72.4,2.5,16.0,155,11.9,23.5,16.9,42,140,143,147,134,144,134,159,147,149,0,0,0,0,1339
Union Beach Public School District,NJ-255230,2023-24,50.0,55.5,55,46,39,68,35,37.5,38.5,69,67,45.0,12.3,52.7,NA,NA,NA,NA,NA,NA,NA,0.07345132743362831,35.9,13.8,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013215339233038349,0.015555555555555557,11:1,206:1,55,14.7,14.7,83.6,3.6,0,42,8.3,18.9,39.2,119,53,62,45,53,54,54,63,65,50,0,0,0,0,618
Upper Freehold Regional School District,NJ-255310,2023-24,53.0,53.0,42,35,77,62.5,50,42,53.5,56,56.5,56.6,24.5,65.4,NA,NA,NA,NA,NA,NA,NA,0.15632118451025057,48.4,12.6,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07383561643835618,0.09925636007827789,12:1,155:1,166,13.8,13.8,90.4,0.6,4.8,238,11.8,19.5,5.8,45,93,100,104,109,99,99,107,116,127,234,258,265,260,2016
Wall Township Public School District,NJ-255420,2023-24,55.0,60.0,59,68,47,48,53,55,69,58,68,69.9,25.4,81.1,NA,NA,NA,NA,NA,NA,NA,0.23078698224852073,63.0,28.0,71.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10904223676383105,0.1384431137724551,9:1,117:1,349,15.0,13.8,85.1,0.9,3.2,315,10.1,20.8,11.4,77,223,229,245,228,273,235,256,254,256,216,241,219,220,3172
West Long Branch School District,NJ-255640,2023-24,57.0,48.0,68.5,44.5,43,48,76,43,25,68,61.5,61.4,25.9,72.9,NA,NA,NA,NA,NA,NA,NA,0.16375,57.8,24.7,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11198170731707319,0.12140740740740741,9:1,94:1,64,8.5,8.4,67.2,3.1,4.7,74,14.1,24.1,14.7,48,63,57,69,52,52,60,61,42,60,0,0,0,0,564
Boonton Town Public School District,NJ-270450,2023-24,58.5,50.0,48,59,46,76,65,36,34,68,67,67.9,26.2,81.1,NA,NA,NA,NA,NA,NA,NA,0.2239710610932476,45.0,17.7,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06796208530805686,0.09687350835322195,10:1,117:1,146,10.3,10.3,71.1,1.4,11.6,240,17.0,19.7,34.1,138,86,108,74,78,84,86,84,90,75,137,172,161,143,1516
Boonton Township School District,NJ-270460,2023-24,63.0,57.5,39,73.5,56.5,40,82.5,48,66,64,49,79.6,44.2,88.5,NA,NA,NA,NA,NA,NA,NA,0.25691119691119696,65.4,36.5,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14879377431906615,0.19313131313131315,10:1,102:1,43,12.7,9.6,74.4,2.3,9.3,24,6.0,20.3,2.2,17,47,49,39,48,26,40,44,40,59,0,0,0,0,409
Butler Public School District,NJ-270630,2023-24,61.0,54.0,66,57.5,60,69,50,70,52,54,42.5,60.5,22.6,72.7,NA,NA,NA,NA,NA,NA,NA,0.20944954128440368,40.5,<10%,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03781193490054249,0.05119891008174387,10:1,118:1,115,10.4,9.7,61.7,2.6,2.6,106,9.0,21.5,26.0,30,64,66,81,82,63,77,74,76,73,115,128,142,111,1182
School District of the Chathams,NJ-270785,2023-24,43.0,44.0,54,39,39,44,41,55,52,33.5,37,75.3,39.5,83.5,NA,NA,NA,NA,NA,NA,NA,0.23305555555555557,70.0,35.8,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21308391234633886,0.2639764705882353,11:1,148:1,324,12.9,10.3,77.8,0.9,6.8,176,5.0,18.1,2.1,58,199,252,251,238,238,261,286,280,280,310,297,308,290,3548
Chester Township School District,NJ-270820,2023-24,51.0,50.0,32,61,51,44,53.5,64,57,39,33.5,68.1,34.5,75.4,NA,NA,NA,NA,NA,NA,NA,0.1871846153846154,67.4,33.6,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15693251533742333,0.15201535508637237,10:1,115:1,106,12.0,12.0,74.5,0.9,0.9,87,8.9,21.1,5.5,61,117,104,96,98,104,126,98,127,106,0,0,0,0,1037
Denville Township K-8 School District,NJ-271090,2023-24,52.0,49.0,57,61,36,53,58,46,60,46,47,76.5,44.0,87.9,NA,NA,NA,NA,NA,NA,NA,0.34147842056932964,61.4,34.0,71.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12439449541284404,0.14434298440979956,10:1,175:1,172,11.0,11.0,78.4,1.2,4.7,134,8.1,24.4,6.2,53,177,190,192,164,199,193,199,171,173,0,0,0,0,1711
Dover Public School District,NJ-271110,2023-24,53.0,51.0,49,58,56,56,48,43,59,53,52,37.5,12.7,42.6,NA,NA,NA,NA,NA,NA,NA,0.10412468513853904,23.2,<10%,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024101516919486584,0.029889643463497453,13:1,124:1,272,12.0,9.7,62.6,2.6,11.0,387,11.7,13.8,76.0,352,209,222,245,237,238,225,240,235,264,314,280,307,242,3610
East Hanover Township School District,NJ-271190,2023-24,60.5,57.0,69,35,54.5,88,56.5,56,63,64.5,49,77.0,33.7,85.2,NA,NA,NA,NA,NA,NA,NA,0.3221428571428571,69.3,24.8,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15740445859872612,0.17441287878787878,9:1,111:1,107,11.8,10.0,67.3,1.9,14.0,80,8.2,15.5,2.4,36,114,106,110,88,127,101,111,104,106,0,0,0,0,1003
Florham Park School District,NJ-271530,2023-24,43.0,55.0,44,72,29,42.5,34,60,61,45,54,70.9,30.4,80.6,NA,NA,NA,NA,NA,NA,NA,0.26758620689655177,68.3,37.4,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19952622673434856,0.20725099601593627,10:1,118:1,99,10.6,9.7,71.7,2.0,4.0,110,12.1,20.5,1.0,37,88,105,110,95,93,120,110,93,91,0,0,0,0,942
Hanover Township School District,NJ-272000,2023-24,53.0,52.0,43,63,31,58,69,53,59,51.5,40,70.8,33.8,79.9,NA,NA,NA,NA,NA,NA,NA,0.22165217391304348,60.1,32.9,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14623312883435582,0.1476047904191617,10:1,139:1,130,14.0,12.0,80.8,0.8,3.8,75,6.2,20.8,6.0,21,116,132,136,128,140,137,126,151,152,0,0,0,0,1239
Harding Township School District,NJ-272010,2023-24,54.0,51.0,67,44,50.5,42,52,57,45,44,48,83.0,55.6,89.7,NA,NA,NA,NA,NA,NA,NA,0.36043715846994534,74.3,47.2,81.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1502777777777778,0.1733974358974359,7:1,75:1,43,11.2,10.2,72.1,4.7,4.7,20,6.9,16.1,3.3,11,33,35,35,30,40,25,35,25,28,0,0,0,0,299
Jefferson Township Public School District,NJ-272380,2023-24,51.0,49.0,47,35.5,55,43,73,49,44,49.5,53,52.3,21.6,61.8,NA,NA,NA,NA,NA,NA,NA,0.1254588986432562,40.7,18.4,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053071428571428575,0.07140765765765765,11:1,126:1,246,13.7,11.2,73.6,3.3,2.8,238,9.9,23.0,11.8,271,175,168,169,178,173,183,179,199,191,186,183,200,199,2654
Kinnelon School District,NJ-272460,2023-24,59.0,51.0,60,60,56,62,57,55.5,62,51,34,76.3,44.3,84.2,NA,NA,NA,NA,NA,NA,NA,0.2811071849234394,67.4,36.5,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15542553191489364,0.1624451939291737,10:1,127:1,164,16.1,13.7,84.1,1.8,2.4,185,11.5,17.9,2.7,29,107,122,126,115,116,126,126,126,129,132,124,136,133,1647
Lincoln Park School District,NJ-272650,2023-24,52.0,57.0,56,29.5,58,61.5,50,58,38,47,77.5,71.8,33.9,82.7,NA,NA,NA,NA,NA,NA,NA,0.2676727272727273,61.5,25.6,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10432971014492755,0.12469298245614036,10:1,148:1,87,13.2,11.8,73.6,0,9.2,112,13.2,24.6,16.4,54,98,81,94,95,104,98,75,94,96,0,0,0,0,889
