DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,ST_LEAID,SchoolYear,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
Bridgeton City School District,773,418,461,437,468,496,493,492,483,455,418,350,281,327,6352,NJ-110540,2018-2019,9.1,79.4,18.7,*,*,NA,12.9,*,*,0,0,13:1,167:1,485,12.4,9.8,70.1,650,11.8,12,46,22,10,10
Commercial Township School District,0,0,1,0,0,1,1,2,1,1,0,0,0,0,7,NJ-110950,2018-2019,100.0,28.6,18.9,*,*,NA,*,*,*,0,0,1:1,2:1,42,12.2,11.9,81.0,68,14.5,4,24,32,21,19
Cumberland County Board of Vocational Education,0,0,0,0,0,0,0,0,0,0,224,229,226,16,695,NJ-110995,2018-2019,7.1,34.0,87.2,37.5,89.1,0.44966442953020136,64.6,31.3,65.8,0,NA,10:1,87:1,69,5.0,3.3,23.2,34,5.0,9,38,37,9,6
Cumberland Regional School District,0,0,0,0,0,0,0,0,0,0,292,229,222,281,1024,NJ-110997,2018-2019,18.1,43.9,28.9,*,*,NA,19.2,*,*,0,NA,13:1,93:1,79,10.9,8.2,63.3,74,7.0,5,30,36,19,11
Deerfield Township School District,27,30,21,28,34,24,34,33,29,38,0,0,0,0,298,NJ-111020,2018-2019,15.4,47.7,52.9,20.7,58.9,NA,36.2,16.7,39.9,0,0,9:1,99:1,33,12.6,8.3,64.5,21,7.6,4,34,37,16,9
Downe Township School District,34,19,8,17,16,15,20,13,17,16,0,0,0,0,175,NJ-111120,2018-2019,17.7,41.7,36.5,*,*,NA,25.8,*,*,NA,0,10:1,88:1,17,11.0,9.6,58.8,12,8.3,1,31,37,20,11
Fairfield Township School District,81,55,48,48,66,57,44,59,62,31,0,0,0,0,551,NJ-111460,2018-2019,14.7,37.4,21.3,*,*,NA,10.5,*,*,0,0,10:1,276:1,58,10.9,9.2,86.2,35,7.5,5,40,31,15,9
Greenwich Township School District,0,6,9,8,5,5,6,10,12,4,0,0,0,0,71,NJ-111820,2018-2019,12.7,36.6,74.4,*,*,NA,48.7,*,*,0,0,9:1,71:1,8,15.8,13.3,100.0,0,0,5,35,48,9,3
Hopewell Township School District,30,54,37,48,45,54,67,64,42,62,0,0,0,0,503,NJ-112270,2018-2019,20.9,33.4,34.1,*,*,NA,31.1,*,*,0,0,13:1,168:1,38,14.1,11.4,78.9,33,6.9,3,33,34,21,9
Lawrence Township School District,57,52,42,32,64,58,49,57,47,46,0,0,0,0,504,NJ-112570,2018-2019,20.8,53.0,53.0,23.6,61.4,NA,34.6,14.3,40.3,0,0,12:1,126:1,42,13.3,11.0,71.4,81,17.9,0,5,34,33,28
Maurice River Township School District,44,27,35,40,46,38,45,46,46,40,0,0,0,0,407,NJ-113050,2018-2019,20.1,39.1,40.3,17.9,46.5,NA,27.1,10.7,31.7,0,0,11:1,81:1,36,13.9,11.6,75.0,58,16.0,2,23,31,23,21
Millville School District,678,296,347,299,359,353,352,381,323,361,429,367,369,462,5376,NJ-113230,2018-2019,24.1,69.3,27.2,*,*,NA,17.4,*,*,0.0037632135306553912,0.006169844020797227,13:1,134:1,427,16.6,14.9,90.4,861,18.2,3,27,29,18,22
Stow Creek Township School District,8,5,11,14,15,12,10,16,10,16,0,0,0,0,117,NJ-115070,2018-2019,9.4,27.4,63.8,*,*,NA,51.3,*,*,0,0,9:1,117:1,13,17.5,15.6,84.6,6,5.5,7,45,29,13,6
Upper Deerfield Township School District,84,72,67,79,77,99,91,83,102,88,0,0,0,0,842,NJ-115300,2018-2019,24.5,56.1,43.9,*,*,NA,25.8,*,*,0,0,10:1,140:1,85,13.2,11.0,70.6,70,9.2,4,32,32,16,14
Vineland Public School District,1271,703,708,736,774,780,819,813,796,747,655,589,584,631,10606,NJ-115390,2018-2019,19.7,62.0,33.9,12.3,40.5,0.04941585535465925,*,11.5,30.4,0.015989690721649484,0.024071391619244698,14:1,226:1,770,15.1,15.1,91.8,1887,20.1,3,26,28,18,25
Belleville Public School District,109,303,336,337,324,317,368,406,311,319,330,331,372,332,4495,NJ-130250,2018-2019,16.7,52.6,50.0,17.2,56.8,0.11003516998827667,27.0,11.4,30.2,0.021630309988518944,0.03415105740181269,13:1,180:1,345,10.3,10.3,70.7,574,13.0,3,29,32,19,17
Bloomfield Township School District,195,390,501,446,473,461,521,501,509,479,506,483,433,507,6405,NJ-130410,2018-2019,16.0,39.3,57.9,16.7,64.9,0.17876389265383574,41.6,14.6,46.1,0.06566082802547771,0.08227710339053998,11:1,188:1,559,10.1,9.8,71.6,659,10.6,4,33,29,18,16
Caldwell-West Caldwell School District,39,183,190,191,182,199,183,229,215,197,225,208,182,194,2617,NJ-130660,2018-2019,18.6,7.4,70.8,31.8,80.0,NA,52.0,*,*,0.05211214953271028,0.06129423660262892,12:1,164:1,220,11.2,11.2,75.5,134,5.1,5,40,31,15,9
Cedar Grove Township School District,35,124,87,117,82,121,127,111,126,125,129,127,117,131,1559,NJ-130760,2018-2019,18.2,1.2,74.1,32.8,84.5,NA,53.1,24.2,60.4,0.05883795309168443,0.097854609929078,10:1,142:1,150,11.4,10.1,82.0,62,4.0,6,41,35,14,5
East Orange School District,1430,705,683,641,705,731,727,700,657,619,616,565,599,539,9917,NJ-131210,2018-2019,13.1,78.6,40.9,17.6,44.9,0.08740785498489427,17.9,10.4,19.1,0.007772960189199842,0.011679005034053893,12:1,153:1,803,14.7,12.7,86.8,1762,20.6,3,27,25,19,27
Essex Regional Educational Services Commission,0,1,2,0,1,0,4,1,4,4,18,10,21,14,80,NJ-131387,2018-2019,45.0,46.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:1,5:1,270,8.4,8.2,51.6,NA,NA,NA,NA,NA,NA,NA
Essex County Schools of Technology,0,0,0,0,0,0,0,0,0,0,665,650,539,478,2332,NJ-131390,2018-2019,10.8,77.5,64.7,*,*,0.15423136645962732,29.2,*,*,0,NA,15:1,137:1,154,10.7,10.6,80.5,139,6.0,5,34,30,20,11
Essex Fells School District,28,27,35,29,41,39,29,24,0,0,0,0,0,0,252,NJ-131400,2018-2019,15.1,0,85.8,37.5,96.4,NA,82.1,25.0,94.5,0.20141791044776122,0.20141791044776122,8:1,126:1,32,10.3,9.2,71.9,9,4.0,3,30,41,17,9
Fairfield Public Schools School District,33,93,85,81,113,92,79,96,0,0,0,0,0,0,672,NJ-131465,2018-2019,12.2,3.7,76.8,46.9,79.7,0.1990659340659341,68.9,37.5,71.9,0.11424657534246577,0.11424657534246577,10:1,168:1,66,10.1,10.1,71.2,39,6.1,2,31,39,18,10
Glen Ridge Public School District,74,126,136,134,138,140,158,142,150,145,142,136,127,133,1881,NJ-131750,2018-2019,16.9,0.1,82.9,47.8,90.5,0.3408362676056338,74.8,32.0,84.0,0.2219186560565871,0.25971870604782,12:1,157:1,151,13.1,11.3,83.4,75,4.1,4,38,38,14,6
Irvington Public School District,1252,587,602,584,575,619,562,528,489,473,452,401,376,292,7792,NJ-132330,2018-2019,9.3,70.4,27.3,*,*,NA,*,*,*,0.00567487684729064,0.008278835788717211,15:1,223:1,514,9.6,7.8,58.0,1152,17.6,7,38,23,13,18
Livingston Board of Education School District,74,401,397,410,410,480,495,488,495,487,462,496,492,451,6038,NJ-132730,2018-2019,15.2,2.0,85.7,48.7,92.9,0.4531678676274353,73.4,31.4,81.6,0.20167114454594304,0.23801559792027732,12:1,163:1,488,11.9,10.2,71.3,138,2.3,6,45,35,11,4
Millburn Township School District,61,311,339,365,383,387,415,422,353,396,338,321,364,347,4802,NJ-133190,2018-2019,13.4,1.3,87.9,52.5,93.4,0.4214942137508509,83.8,46.7,90.3,0.2955766895993525,0.33242581988547626,12:1,141:1,413,12.2,11.6,79.4,297,6.2,5,35,34,16,10
Montclair Public School District,90,473,461,455,472,527,522,532,534,515,508,539,510,506,6644,NJ-133310,2018-2019,17.6,15.1,67.8,32.4,75.3,NA,55.1,*,*,NA,0.11540724946695095,12:1,201:1,569,18.1,12.5,87.3,427,6.4,2,34,37,17,10
Newark Public School District,6938,2619,2779,2770,2835,2917,2903,2928,2810,2631,2413,2201,2347,2419,41510,NJ-133570,2018-2019,17.3,75.0,*,14.1,41.7,0.07660911246263272,26.3,11.6,29.8,0.03243746860873933,0.03581001417804641,14:1,106:1,2907,12.2,9.7,64.7,9212,26.8,4,26,23,16,30
North Caldwell School District,28,85,73,101,97,86,100,92,0,0,0,0,0,0,662,NJ-133630,2018-2019,15.6,0,89.9,58.6,95.8,0.4607258064516129,81.3,48.3,87.4,0.22975806451612904,0.22975806451612904,10:1,166:1,64,7.8,6.2,56.3,26,4.1,3,38,35,16,7
Nutley Public School District,95,316,286,327,301,304,314,353,268,283,306,302,294,314,4063,NJ-133750,2018-2019,21.1,12.2,71.3,33.1,81.6,0.24350377200335288,55.9,25.3,64.1,0.05311233108108108,0.08407085561497325,12:1,156:1,334,10.5,9.8,67.1,370,9.2,3,29,34,20,15
ORANGE BOARD OF EDUCATION School District,824,422,422,421,398,452,377,408,395,315,294,315,301,290,5634,NJ-133880,2018-2019,12.7,65.1,39.9,10.0,45.2,NA,29.4,*,*,0.01855392156862745,0.02660140562248996,11:1,108:1,493,7.6,6.8,56.4,381,7.9,7,41,27,14,10
Roseland School District,20,59,66,70,68,60,67,61,0,0,0,0,0,0,471,NJ-134530,2018-2019,18.7,1.9,79.2,40.8,88.3,NA,72.7,34.7,81.6,0.10980314960629921,0.10980314960629921,11:1,157:1,41,7.4,7.4,63.4,25,5.5,5,36,37,14,8
South Orange-Maplewood School District,172,588,559,550,595,568,554,543,530,504,497,519,481,448,7108,NJ-134900,2018-2019,14.3,16.0,68.4,23.5,76.7,0.26523588364703005,56.3,20.9,63.2,0.09701802704056084,0.1255472440944882,12:1,197:1,569,9.2,9.2,65.2,600,8.5,3,34,34,17,12
Verona Public School District,47,152,162,179,150,146,170,168,180,161,174,196,183,161,2229,NJ-135370,2018-2019,17.1,0,71.4,*,*,NA,51.9,20.9,58.9,0.013018268467037332,0.021824234354194408,13:1,139:1,170,11.7,10.6,72.2,111,5.0,4,37,35,16,8
West Essex Regional School District,0,0,0,0,0,0,0,0,289,272,271,269,281,307,1689,NJ-135630,2018-2019,17.2,3.4,79.7,38.3,88.2,0.3913768115942029,64.7,21.0,73.7,0.06113259668508286,0.15,11:1,113:1,156,10.5,10.3,77.6,130,7.5,5,34,34,16,10
West Orange Public Schools,87,467,468,468,453,532,527,501,499,525,538,562,465,536,6628,NJ-135680,2018-2019,18.8,40.5,59.4,23.5,68.2,0.2005897435897436,43.1,18.0,49.3,0.06356632653061224,0.099803250641574,10:1,147:1,638,12.1,12.0,81.8,669,10.1,5,39,29,14,13
Clayton Public School District,106,85,93,115,94,98,123,103,137,111,109,87,105,108,1474,NJ-150860,2018-2019,19.5,46.1,39.4,*,*,NA,24.4,*,*,0,0,12:1,164:1,119,11.5,11.5,82.4,14,1.0,13,47,30,9,1
Clearview Regional High School District,0,0,0,0,0,0,0,0,411,418,358,380,334,372,2273,NJ-150870,2018-2019,12.2,11.8,68.5,17.7,75.1,0.24347019867549669,58.6,14.3,63.6,0.03040697674418605,0.04,13:1,126:1,172,13.7,11.4,79.1,244,10.7,4,35,34,15,13
Deptford Township Public School District,259,319,273,302,269,305,338,382,282,301,247,279,252,277,4085,NJ-151100,2018-2019,23.1,36.6,50.9,19.8,61.2,0.1250551314673452,41.8,17.4,49.8,0.0398466929478756,0.04927619047619047,12:1,170:1,347,14.1,12.3,83.8,427,11.0,4,32,32,17,14
East Greenwich Township School District,65,172,166,170,190,181,171,201,0,0,0,0,0,0,1316,NJ-151180,2018-2019,21.3,7.3,71.6,35.7,80.5,NA,65.9,25.9,75.9,0.11768595041322313,0.11768595041322313,13:1,188:1,105,9.4,7.7,71.4,15,1.2,5,45,38,10,2
Elk Township School District,26,48,47,47,37,45,40,61,0,0,0,0,0,0,351,NJ-151330,2018-2019,15.7,31.1,45.2,21.7,48.7,NA,45.2,21.7,48.7,0,0,11:1,70:1,32,17.5,15.5,90.6,36,11.1,4,27,35,19,14
Township of Franklin School District,39,178,191,203,176,226,203,217,0,0,0,0,0,0,1433,NJ-151590,2018-2019,18.3,34.4,44.6,13.7,51.4,NA,41.7,12.2,48.2,0.05046540880503144,0.05046540880503144,12:1,179:1,120,9.9,8.4,60.0,122,8.7,5,34,33,17,11
Gateway Regional High School District,0,0,0,0,0,0,0,0,144,145,159,149,157,136,890,NJ-151715,2018-2019,22.3,25.7,46.3,10.2,58.1,0.14424028268551237,27.0,*,*,0,0,10:1,64:1,85,14.3,12.0,80.0,55,6.1,4,26,29,24,17
Glassboro School District,127,142,135,156,132,156,146,148,145,133,137,143,111,121,1932,NJ-151730,2018-2019,18.0,52.0,36.1,11.5,41.6,NA,30.3,13.4,34.0,0,0,11:1,102:1,184,13.7,11.8,73.1,239,12.9,6,34,29,15,15
Gloucester County Special Services School District,18,19,17,34,35,46,34,34,46,43,53,47,56,132,614,NJ-151774,2018-2019,99.5,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6:1,29:1,107,12.5,11.8,83.2,NA,NA,NA,NA,NA,NA,NA
Gloucester County Vocational-Technical School District,0,0,0,0,0,0,0,0,0,0,420,388,320,322,1450,NJ-151775,2018-2019,10.1,8.4,66.2,24.7,71.2,0.20613924050632915,56.4,12.3,61.2,0,NA,14:1,207:1,100,11.2,10.5,83.0,99,7.0,7,42,27,13,10
Greenwich Township School District,0,32,40,48,39,48,50,46,52,34,0,0,0,0,389,NJ-151830,2018-2019,27.1,34.6,62.3,34.5,70.3,NA,45.8,22.4,52.5,0,0,9:1,101:1,46,11.8,10.7,84.8,19,4.9,4,37,36,15,8
Harrison Township School District,48,171,174,178,179,211,226,202,0,0,0,0,0,0,1389,NJ-152070,2018-2019,14.5,12.5,73.4,37.8,77.9,0.20900373599003735,65.2,37.8,68.7,0.17506849315068496,0.17506849315068496,13:1,174:1,110,15.5,13.4,88.2,55,4.1,3,38,37,15,7
Kingsway Regional School District,0,0,0,0,0,0,0,0,497,490,430,434,442,418,2711,NJ-152440,2018-2019,17.0,11.7,67.5,20.0,78.7,0.27736754966887417,56.2,16.8,64.8,0.05342013888888889,0.07,13:1,181:1,203,7.5,7.5,62.6,287,10.4,2,30,37,16,14
Logan Township School District,94,72,91,87,93,98,101,72,82,82,0,0,0,0,872,NJ-152750,2018-2019,15.0,17.7,67.2,17.6,75.6,NA,73.8,31.1,81.0,0.2179182879377432,0.2307142857142857,10:1,125:1,89,12.9,10.8,77.5,31,4.0,2,43,36,13,6
Mantua Township School District,152,142,171,142,165,161,186,168,0,0,0,0,0,0,1287,NJ-152990,2018-2019,17.3,18.6,71.1,38.2,79.8,NA,52.9,25.7,60.0,0.03790446841294299,0.03790446841294299,11:1,215:1,114,6.9,6.7,66.7,76,6.7,4,33,35,18,10
Monroe Township Public School District,158,300,391,391,430,443,442,489,499,471,428,471,417,465,5795,NJ-153280,2018-2019,17.9,31.1,54.9,21.5,62.5,0.12079271708683474,44.1,*,*,0.053608633093525176,0.06530985287561303,13:1,200:1,460,12.9,11.3,81.5,609,10.7,3,29,34,19,14
National Park Boro School District,27,35,40,40,40,36,25,28,0,0,0,0,0,0,271,NJ-153490,2018-2019,14.4,41.3,38.8,*,*,NA,48.8,13.6,56.1,0,0,10:1,45:1,26,14.2,13.2,80.8,25,10.1,0,37,34,17,12
Paulsboro School District,75,101,96,87,86,97,62,71,69,89,92,85,76,65,1151,NJ-154020,2018-2019,22.2,58.6,23.7,*,*,NA,*,*,*,0,0,12:1,128:1,99,13.4,12.0,74.5,254,22.6,4,26,29,17,24
Pitman Boro School District,12,28,73,102,76,93,104,104,118,84,89,91,99,101,1174,NJ-154140,2018-2019,22.2,20.5,57.5,26.0,66.9,NA,40.7,19.3,46.5,0,0,8:1,98:1,143,13.7,11.5,81.8,86,6.9,5,35,33,17,10
South Harrison Township School District,18,57,43,43,49,48,48,48,0,0,0,0,0,0,354,NJ-154880,2018-2019,16.7,15.3,59.7,45.2,62.4,NA,55.8,38.7,59.0,0,0,11:1,59:1,33,10.5,10.5,72.7,18,5.3,1,37,37,15,10
Delsea Regional High School District,0,0,0,0,0,0,0,0,287,276,264,235,263,274,1599,NJ-154940,2018-2019,14.9,25.4,68.0,19.7,76.7,0.27408560311284047,36.5,*,*,0.013301435406698566,0.05,13:1,133:1,126,16.4,14.7,84.9,187,11.3,4,26,34,21,15
Swedesboro-Woolwich School District,54,198,212,228,222,197,262,274,0,0,0,0,0,0,1647,NJ-155120,2018-2019,21.1,16.5,56.7,29.0,64.0,NA,55.1,37.2,59.7,0.09227467811158799,0.09227467811158799,12:1,165:1,141,10.1,10.0,78.0,78,4.9,3,45,33,12,7
Washington Township School District,85,491,526,534,544,534,545,555,588,575,593,549,536,545,7200,NJ-155500,2018-2019,16.7,21.2,50.6,*,*,0.0858839652809502,40.4,17.7,44.6,0.04214630779848171,0.06376719970249163,11:1,153:1,653,14.4,13.0,83.8,574,8.0,4,36,33,16,11
Wenonah  Boro School District,13,23,24,16,26,20,27,28,0,0,0,0,0,0,177,NJ-155590,2018-2019,9.0,2.8,60.8,27.3,64.8,NA,65.7,27.3,70.3,0.10705882352941176,0.10705882352941176,8:1,89:1,21,15.3,10.9,76.2,5,3.0,3,50,31,13,3
West Deptford Township School District,180,191,193,206,224,196,220,208,230,228,232,225,181,217,2931,NJ-155620,2018-2019,21.8,25.9,59.6,22.6,70.4,0.15757314974182443,45.0,*,*,0.06065843621399177,0.09780094786729858,13:1,195:1,225,12.9,11.9,79.6,260,9.3,3,32,35,18,12
Westville Boro Public School District,41,45,47,45,46,40,49,65,0,0,0,0,0,0,378,NJ-155740,2018-2019,26.2,57.9,51.3,21.7,64.0,NA,39.7,23.3,46.8,0,0,12:1,54:1,32,13.5,12.3,81.3,20,5.9,7,41,33,9,9
Woodbury City Public School District,144,111,134,126,101,124,109,115,102,92,105,92,85,79,1519,NJ-155860,2018-2019,19.4,64.4,35.6,*,*,NA,24.1,*,*,0,0,11:1,117:1,137,11.9,11.0,68.6,221,15.9,3,31,29,17,20
Woodbury Heights Public School District,21,36,32,34,33,28,26,27,0,0,0,0,0,0,237,NJ-155870,2018-2019,21.1,21.1,55.0,16.7,65.9,NA,53.2,16.7,63.5,0,0,9:1,237:1,26,12.6,10.6,69.2,15,6.8,2,32,37,20,9
Bayonne School District,498,762,717,711,707,795,730,781,742,758,597,618,577,583,9576,NJ-170220,2018-2019,15.9,59.4,*,13.5,66.8,0.1729887965305385,*,*,*,0.050217507577108224,0.0650819224467504,14:1,223:1,691,13.1,11.5,79.6,1256,13.5,4,32,32,17,16
East Newark School District,30,9,14,25,28,23,19,27,34,27,0,0,0,0,236,NJ-171200,2018-2019,13.6,73.3,56.2,10.0,63.5,NA,30.9,*,*,NA,0,14:1,236:1,17,8.4,5.7,58.8,16,7.6,4,54,25,8,9
Guttenberg School District,59,103,108,101,89,89,113,105,106,117,0,0,0,0,990,NJ-171850,2018-2019,10.7,69.2,53.5,18.6,58.3,NA,39.2,12.9,42.9,0,0,12:1,165:1,84,9.0,7.6,51.2,89,9.6,4,36,31,17,12
Harrison Public Schools,315,143,160,146,154,163,145,144,139,158,181,182,177,154,2361,NJ-172060,2018-2019,15.2,76.3,54.7,*,*,NA,29.2,*,*,NA,0.016796769851951547,13:1,131:1,175,13.4,11.7,74.9,160,7.7,8,45,27,11,10
Hoboken Public School District,901,284,225,215,182,150,129,146,71,90,125,114,82,87,2801,NJ-172210,2018-2019,12.7,32.2,54.0,15.1,62.3,NA,*,12.6,37.9,0.04338557993730407,0.063583460949464,13:1,147:1,222,9.8,7.8,59.5,156,8.1,5,25,33,22,15
Hudson County Schools of Technology School District,0,0,0,0,0,0,0,48,44,55,665,602,598,599,2611,NJ-172295,2018-2019,8.5,46.9,81.9,*,*,NA,*,*,*,0,0,13:1,137:1,205,11.1,10.9,75.6,146,6.0,6,37,29,18,10
Jersey City Public Schools,4831,2124,2172,2064,2020,1951,2034,2039,1946,1818,1721,1476,1363,1374,28933,NJ-172390,2018-2019,13.7,53.7,49.7,14.4,56.2,0.16169829291523188,33.6,*,*,0.07201193820224719,0.08985714285714286,12:1,226:1,2382,14.2,14.2,89.8,3666,15.2,4,30,27,18,21
Kearny,268,322,346,342,341,352,395,419,413,447,438,406,438,408,5335,NJ-172410,2018-2019,17.2,54.1,45.8,10.1,54.1,NA,29.3,*,*,0.024630041282946966,0.041080508474576276,12:1,184:1,448,11.6,11.6,85.9,560,11.0,5,34,31,16,14
North Bergen School District,298,460,499,520,568,549,547,552,617,552,662,577,556,562,7519,NJ-173610,2018-2019,16.8,66.8,47.1,14.5,53.3,0.09434326967862133,*,*,*,0.024666204666204665,0.038493150684931504,13:1,188:1,589,10.7,10.1,75.6,512,7.1,3,32,32,21,12
Secaucus School District,113,197,161,152,164,165,184,173,174,161,132,147,183,164,2270,NJ-174730,2018-2019,15.6,28.7,63.8,*,*,0.20087539432176657,46.6,*,*,0.0727437106918239,0.10860328638497653,12:1,151:1,182,11.6,11.4,75.8,172,7.9,4,35,34,16,11
Union City School District,1854,929,967,967,913,895,904,960,888,864,944,892,870,869,13716,NJ-175240,2018-2019,9.1,87.1,54.9,15.2,59.4,0.1658829568788501,34.6,*,*,0.03975786924939467,0.04590867992766727,16:1,191:1,876,12.4,11.9,78.2,1395,11.7,5,33,28,17,16
Weehawken Public School District,104,96,108,102,108,111,105,91,85,95,100,99,89,102,1395,NJ-175580,2018-2019,11.3,35.4,54.8,11.2,61.2,NA,29.1,*,*,0,0,12:1,100:1,120,11.5,10.6,60.8,183,13.8,3,27,29,22,19
West New York Board of Education,1104,577,594,596,619,597,592,611,530,540,578,504,446,448,8336,NJ-175670,2018-2019,12.8,81.5,43.4,14.5,49.0,NA,29.9,10.7,33.5,0.01768295379173115,0.02292234332425068,15:1,203:1,568,13.1,12.7,85.9,774,10.6,6,37,28,16,13
Alexandria Township School District,27,34,47,41,55,51,55,57,47,69,0,0,0,0,483,NJ-190020,2018-2019,19.7,5.8,63.7,15.8,73.9,NA,51.7,14.3,59.6,0,0,9:1,97:1,52,11.1,9.8,75.0,34,7.5,4,33,33,20,11
Bethlehem Township School District,16,25,37,37,36,39,41,32,46,42,0,0,0,0,351,NJ-190370,2018-2019,23.1,4.3,73.1,32.7,85.6,NA,62.9,37.7,70.8,NA,0,8:1,88:1,46,11.5,8.4,71.7,24,7.1,3,33,31,20,12
Bloomsbury Borough School District,13,10,10,10,12,10,6,9,0,10,0,0,0,0,90,NJ-190430,2018-2019,16.7,24.4,59.6,*,*,NA,63.8,*,*,NA,NA,8:1,90:1,12,14.5,11.5,80.0,0,0,4,47,38,8,3
Califon Borough School District,16,6,0,10,7,9,4,13,7,8,0,0,0,0,80,NJ-190670,2018-2019,15.0,3.8,66.0,18.2,79.5,NA,74.0,27.3,87.2,0,0,4:1,27:1,18,14.6,10.1,77.8,1,1.5,5,39,36,17,3
Clinton-Glen Gardner School District,17,40,31,50,46,42,53,46,47,53,0,0,0,0,425,NJ-190910,2018-2019,21.9,9.9,71.0,29.6,80.9,NA,59.1,20.8,68.1,NA,0,9:1,142:1,46,15.5,10.6,73.9,24,5.8,2,39,37,14,8
Clinton Township School District,29,101,94,120,127,138,127,155,160,164,0,0,0,0,1215,NJ-190920,2018-2019,20.4,5.7,68.7,34.1,77.2,NA,65.8,32.9,73.8,NA,0.12994211287988425,8:1,122:1,149,13.5,10.9,83.9,66,5.5,2,38,37,15,9
Delaware Township School District,19,34,36,42,35,41,39,33,44,50,0,0,0,0,373,NJ-191040,2018-2019,21.2,9.4,59.6,17.0,70.7,NA,50.9,21.3,58.6,0,0,8:1,93:1,45,13.6,11.1,82.2,28,7.9,4,39,30,15,12
Delaware Valley Regional High School District,0,0,0,0,0,0,0,0,0,0,185,166,152,173,676,NJ-191050,2018-2019,18.2,6.1,72.5,21.3,83.5,0.302,43.8,*,*,0,NA,10:1,56:1,71,12.7,10.5,76.1,38,5.2,6,46,31,11,6
East Amwell Township School District,35,38,38,41,36,38,30,30,40,40,0,0,0,0,366,NJ-191160,2018-2019,21.0,16.7,78.0,38.1,88.0,NA,72.7,40.5,80.8,0,0,9:1,92:1,39,15.3,12.3,84.6,8,2.4,7,49,29,11,3
South Hunterdon Regional School District,33,45,55,57,82,59,68,62,83,69,68,83,75,66,905,NJ-191376,2018-2019,19.7,21.7,60.2,23.1,69.7,NA,40.3,*,*,0.02035906642728905,0.03258620689655173,8:1,101:1,109,10.9,9.2,72.5,72,8.0,2,37,33,17,11
Flemington-Raritan Regional School District,72,316,316,324,283,340,306,383,392,394,0,0,0,0,3126,NJ-191510,2018-2019,20.4,18.0,69.2,30.4,78.6,0.21616102110947472,69.0,32.3,77.8,0.18535053554040898,0.18115960099750625,9:1,142:1,331,13.5,11.0,80.1,194,6.4,3,38,34,16,9
Franklin Township School District,22,17,16,23,27,33,30,37,32,42,0,0,0,0,279,NJ-191600,2018-2019,12.2,4.7,61.2,16.0,67.6,NA,61.7,12.0,68.8,0,0,10:1,93:1,29,16.2,11.9,65.5,4,1.5,7,48,29,11,5
Frenchtown Borough School District,20,6,10,14,11,11,12,17,8,19,0,0,0,0,128,NJ-191680,2018-2019,17.2,12.5,68.5,27.3,75.8,NA,64.0,18.2,71.9,0,0,7:1,128:1,19,9.8,7.1,52.6,9,8.1,4,43,27,16,10
Hampton Borough School District,16,10,18,12,14,19,10,0,0,0,0,0,0,0,99,NJ-191970,2018-2019,31.3,30.3,34.1,*,*,NA,24.4,*,*,NA,0,6:1,33:1,16,11.8,6.5,37.5,14,17.7,0,24,39,16,20
High Bridge Borough School District,18,32,31,43,32,41,42,46,51,38,0,0,0,0,374,NJ-192140,2018-2019,25.7,14.2,56.3,32.7,63.4,NA,54.9,32.7,61.5,0,0,9:1,75:1,43,15.3,13.1,76.7,35,10.0,3,33,31,19,13
Holland Township School District,36,41,53,54,48,54,59,74,53,65,0,0,0,0,537,NJ-192220,2018-2019,30.4,8.8,63.1,36.4,74.2,NA,55.5,37.6,63.0,0,0,9:1,134:1,59,14.0,10.4,86.4,37,7.4,4,30,35,17,13
Hunterdon Central Regional High School District,0,0,0,0,0,0,0,0,0,0,644,712,673,714,2743,NJ-192300,2018-2019,15.2,9.6,81.8,41.6,89.8,0.4316380655226209,59.1,31.7,63.8,0.06039461883408072,NA,11:1,125:1,239,13.1,11.8,81.2,138,4.9,6,48,31,9,7
Hunterdon County Vocational School District,0,0,0,0,0,0,0,0,0,0,58,61,140,141,400,NJ-192308,2018-2019,19.8,4.4,94.8,*,*,NA,92.6,*,*,0,NA,20:1,100:1,20,6.6,6.5,55.0,2,1.1,4,48,36,10,2
Kingwood Township School District,16,22,40,40,37,26,37,43,36,36,0,0,0,0,333,NJ-192450,2018-2019,14.7,8.4,70.4,30.0,77.3,NA,51.7,20.0,57.1,0,0,10:1,83:1,34,13.6,11.7,88.2,14,4.4,5,36,33,17,9
Lebanon Borough School District,12,14,16,11,10,7,19,11,0,0,0,0,0,0,100,NJ-192590,2018-2019,16.0,6.0,61.2,*,*,NA,57.1,36.4,63.2,0,0,7:1,100:1,15,11.2,7.9,73.3,9,10.0,6,37,36,11,11
