district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Verona Boro,NJ-135370,16336,9521,1713
West Essex Regional,NJ-135630,20922,11802,2328
West Orange Town,NJ-135680,22741,14290,2254
Clayton Boro,NJ-150860,15214,8838,1810
Clearview Regional,NJ-150870,14130,7976,1869
Deptford Twp,NJ-151100,15654,9568,1326
East Greenwich Twp,NJ-151180,14466,8913,1362
Elk Twp,NJ-151330,15361,9378,1451
Franklin Twp,NJ-151590,15154,8795,1643
Gateway Regional,NJ-151715,22175,11712,1894
Glassboro,NJ-151730,17487,9580,2232
Gloucester Co Spec Serv,NJ-151774,55780,31044,5822
Gloucester Co Vocational,NJ-151775,14743,8110,1259
Greenwich Twp,NJ-151830,20744,11553,2186
Harrison Twp,NJ-152070,14003,8845,1604
Kingsway Regional,NJ-152440,13558,7649,1522
Logan Twp,NJ-152750,18861,10773,1724
Mantua Twp,NJ-152990,14244,8718,1495
Monroe Twp,NJ-153280,14601,8525,1513
National Park Boro,NJ-153490,16202,10607,1250
Paulsboro Boro,NJ-154020,17110,9734,1890
Pitman Boro,NJ-154140,18842,11038,2110
South Harrison Twp,NJ-154880,12717,7598,1652
Delsea Regional H.S Dist.,NJ-154940,16040,8962,1536
Swedesboro-Woolwich,NJ-155120,15462,9504,2025
Washington Twp,NJ-155500,18362,10786,1833
Wenonah Boro,NJ-155590,19007,10610,2429
West Deptford Twp,NJ-155620,16781,10017,1598
Westville Boro,NJ-155740,15273,10498,1123
Woodbury City,NJ-155860,16150,9945,1600
Woodbury Heights Boro,NJ-155870,14652,10399,1585
Bayonne City,NJ-170220,16318,9442,1334
East Newark Boro,NJ-171200,16614,8139,2687
Guttenberg Town,NJ-171850,15196,8287,1521
Harrison Town,NJ-172060,16703,9833,2079
Hoboken City,NJ-172210,22230,11227,2174
Hudson County Vocational,NJ-172295,21999,11531,3244
Jersey City,NJ-172390,21234,12239,2078
Kearny Town,NJ-172410,17135,10804,2205
North Bergen Twp,NJ-173610,15021,9055,1970
Secaucus Town,NJ-174730,16409,9338,2230
Union City,NJ-175240,19758,10061,1788
Weehawken Twp,NJ-175580,21263,12560,1927
West New York Town,NJ-175670,16088,9434,1305
Alexandria Twp,NJ-190020,20139,11912,1940
Bethlehem Twp,NJ-190370,21147,11045,2142
Bloomsbury Boro,NJ-190430,24567,16036,2024
Califon Boro,NJ-190670,26600,17864,1812
Clinton-Glen Gardner,NJ-190910,20677,12127,1930
Clinton Twp,NJ-190920,22745,12506,1893
Delaware Twp,NJ-191040,21287,12793,1594
Delaware Valley Regional,NJ-191050,21960,10284,2145
East Amwell Twp,NJ-191160,22042,13121,2307
South Hunterdon Regional School District,NJ-191376,24980,14441,2352
Flemington-Raritan Reg,NJ-191510,19247,12355,2204
Franklin Twp,NJ-191600,23140,12635,2133
Frenchtown Boro,NJ-191680,23517,13595,2387
Hampton Boro,NJ-191970,25742,13722,1819
High Bridge Boro,NJ-192140,22899,14082,1721
Holland Twp,NJ-192220,20372,11768,1624
Hunterdon Central Reg,NJ-192300,21535,11946,1628
Hunterdon Co Vocational,NJ-192308,12967,8427,2255
Kingwood Twp,NJ-192450,18750,11663,1453
Lebanon Boro,NJ-192590,26009,14631,2515
Lebanon Twp,NJ-192600,21225,13031,1815
Milford Boro,NJ-193180,26218,15052,1828
