ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-190430,2021-2022,Bloomsbury Borough School District,103
NJ-190670,2021-2022,Califon Borough School District,84
NJ-190920,2021-2022,Clinton Township School District,1195
NJ-190910,2021-2022,Clinton-Glen Gardner School District,430
NJ-191040,2021-2022,Delaware Township School District,390
NJ-191050,2021-2022,Delaware Valley Regional High School District,697.5
NJ-191160,2021-2022,East Amwell Township School District,358
NJ-191510,2021-2022,Flemington-Raritan Regional School District,3026
NJ-191600,2021-2022,Franklin Township School District,258
NJ-191680,2021-2022,Frenchtown Borough School District,108
NJ-191970,2021-2022,Hampton Borough School District,92
NJ-192140,2021-2022,High Bridge Borough School District,347
NJ-192220,2021-2022,Holland Township School District,512
NJ-192300,2021-2022,Hunterdon Central Regional High School District,2503.5
NJ-192308,2021-2022,Hunterdon County Vocational School District,510
NJ-192450,2021-2022,Kingwood Township School District,326
NJ-192590,2021-2022,Lebanon Borough School District,96
NJ-192600,2021-2022,Lebanon Township School District,577
NJ-193180,2021-2022,Milford Borough School District,57
NJ-193660,2021-2022,North Hunterdon-Voorhees Regional High School District,2060
NJ-194350,2021-2022,Readington Township School District,1443
NJ-191376,2021-2022,South Hunterdon Regional School District,802
NJ-195180,2021-2022,Tewksbury Township School District,495
NJ-195270,2021-2022,Union Township School District,417
NJ-213105,2021-2022,Area Vocational Technical School District Of Mercer County,655
NJ-211245,2021-2022,East Windsor Regional School District,4947
NJ-211430,2021-2022,Ewing Township School District,3393.5
NJ-211950,2021-2022,Hamilton Township Public School District,11521.5
NJ-212280,2021-2022,Hopewell Valley Regional School District,3402.5
NJ-212580,2021-2022,Lawrence Township Public School District,3597
NJ-211431,2021-2022,Marie H. Katzenbach School For The Deaf,79
NJ-213103,2021-2022,Mercer County Special Services School District,477
NJ-214255,2021-2022,Princeton Public School District,3702.5
NJ-215510,2021-2022,Robbinsville Public Schools,3096
NJ-215210,2021-2022,Trenton Public School District,14470
NJ-215715,2021-2022,West Windsor-Plainsboro Regional School District,9005
NJ-230750,2021-2022,Carteret Public School District,3823.5
NJ-230970,2021-2022,Cranbury Township School District,472
NJ-231140,2021-2022,Dunellen Public School District,1212
NJ-231170,2021-2022,East Brunswick Township School District,8058
NJ-231290,2021-2022,Edison Township School District,16101.5
NJ-233145,2021-2022,Educational Services Commission Of New Jersey,691
NJ-232150,2021-2022,Highland Park Boro School District,1558
NJ-232370,2021-2022,Jamesburg Public School District,662
NJ-233120,2021-2022,Metuchen Public School District,2256.5
NJ-233140,2021-2022,Middlesex Borough School District,1984
NJ-233150,2021-2022,Middlesex County Vocational And Technical School District,2202
NJ-233220,2021-2022,Milltown School District,801
NJ-233290,2021-2022,Monroe Township School District,6831
NJ-233530,2021-2022,New Brunswick School District,9617.5
NJ-233620,2021-2022,North Brunswick Township School District,5785.5
NJ-233845,2021-2022,Old Bridge Township School District,7967.5
NJ-234090,2021-2022,Perth Amboy Public School District,10371
NJ-234130,2021-2022,Piscataway Township School District,7066
NJ-234660,2021-2022,Sayreville School District,6227
NJ-234830,2021-2022,South Amboy School District,1141.5
NJ-234860,2021-2022,South Brunswick School District,8009
NJ-234910,2021-2022,South Plainfield School District,3427
NJ-234920,2021-2022,South River Public School District,2382.5
NJ-234970,2021-2022,Spotswood Public School District,1591
NJ-235850,2021-2022,Woodbridge Township School District,13613.5
NJ-250100,2021-2022,Asbury Park School District,1581
NJ-250130,2021-2022,Atlantic Highlands School District,258
NJ-250180,2021-2022,Avon Boro School District,123
NJ-250225,2021-2022,Bayshore Jointure Commission School District,56
NJ-250270,2021-2022,Belmar Elementary School District,398
NJ-250500,2021-2022,Bradley Beach School District,207
NJ-250560,2021-2022,Brielle Boro School District,503
NJ-250945,2021-2022,Colts Neck Township School District,1008
NJ-251000,2021-2022,Deal Boro School District,157
NJ-251260,2021-2022,Eatontown Public School District,948
NJ-251440,2021-2022,Fair Haven School District,979
NJ-251490,2021-2022,Farmingdale Public School District,159
NJ-251640,2021-2022,Freehold Borough School District,1598
NJ-251650,2021-2022,Freehold Regional High School District,10288.5
NJ-251660,2021-2022,Freehold Township School District,3491
NJ-252105,2021-2022,Hazlet Township Public School District,2672.5
NJ-252120,2021-2022,Henry Hudson Regional School District,296.5
NJ-252160,2021-2022,Highlands Borough School District,177
NJ-252230,2021-2022,Holmdel Township School District,2932
NJ-252290,2021-2022,Howell Township Public School District,5404
NJ-252400,2021-2022,Keansburg School District,1565.5
NJ-252430,2021-2022,Keyport School District,933
NJ-252720,2021-2022,Little Silver Boro School District,773
NJ-252770,2021-2022,Long Branch Public School District,5292
NJ-252920,2021-2022,Manalapan-Englishtown Regional School District,4639
NJ-252930,2021-2022,Manasquan School District,1485.5
NJ-253030,2021-2022,Marlboro Township School District,4467
NJ-253040,2021-2022,Matawan-Aberdeen Regional School District,3722.5
NJ-253160,2021-2022,Middletown Township Public School District,9034
NJ-253200,2021-2022,Millstone Township School District,1124
NJ-253250,2021-2022,Monmouth Beach School District,250
NJ-253260,2021-2022,Monmouth County Vocational School District,2012.5
NJ-253270,2021-2022,Monmouth Regional High School,880.5
NJ-253255,2021-2022,Monmouth-Ocean Educational Services Commission School Distri,12
NJ-253500,2021-2022,Neptune City School District,241
NJ-253510,2021-2022,Neptune Township School District,3460
NJ-253830,2021-2022,Oceanport School District,558
NJ-254360,2021-2022,Red Bank Borough Public School District,1351
NJ-254365,2021-2022,Red Bank Regional School District,1229.5
NJ-254520,2021-2022,Roosevelt Borough Public School District,82
NJ-254570,2021-2022,Rumson Borough School District,914
NJ-254580,2021-2022,Rumson-Fair Haven Regional High School District,927
NJ-254690,2021-2022,Sea Girt Borough School District,130
NJ-254760,2021-2022,Shore Regional High School District,602.5
NJ-254770,2021-2022,Shrewsbury Borough School District,449
NJ-254980,2021-2022,Spring Lake Borough,159
NJ-254990,2021-2022,Spring Lake Heights School District,322
NJ-255185,2021-2022,Tinton Falls School District,1339
NJ-253810,2021-2022,Township Of Ocean School District,3229
NJ-255230,2021-2022,Union Beach Public School District,617
NJ-255310,2021-2022,Upper Freehold Regional School District,2094.5
NJ-255420,2021-2022,Wall Township Public School District,3254.5
NJ-255640,2021-2022,West Long Branch School District,544
NJ-270450,2021-2022,Boonton Town Public School District,1430.5
NJ-270460,2021-2022,Boonton Township School District,392
NJ-270630,2021-2022,Butler Public School District,1126.5
NJ-270820,2021-2022,Chester Township School District,1035
NJ-271090,2021-2022,Denville Township K-8 School District,1629
NJ-271110,2021-2022,Dover Public School District,3351.5
NJ-271190,2021-2022,East Hanover Township School District,916
NJ-273364,2021-2022,Educational Services Commission Of Morris County,31
NJ-271530,2021-2022,Florham Park School District,948
NJ-271990,2021-2022,Hanover Park Regional High School District,1343
NJ-272000,2021-2022,Hanover Township School District,1251
NJ-272010,2021-2022,Harding Township School District,293
NJ-272380,2021-2022,Jefferson Township Public School District,2495
NJ-272460,2021-2022,Kinnelon School District,1650.5
NJ-272650,2021-2022,Lincoln Park School District,878
NJ-274000,2021-2022,Long Hill Township School District,830
NJ-272870,2021-2022,Madison Public School District,2494
NJ-273090,2021-2022,Mendham Borough School District,475
NJ-273100,2021-2022,Mendham Township School District,762
NJ-273240,2021-2022,Mine Hill Township School District,348
NJ-273340,2021-2022,Montville Township School District,3366.5
NJ-273365,2021-2022,Morris County Vocational School District,1504
NJ-273370,2021-2022,Morris Hills Regional School District,2556.5
NJ-273380,2021-2022,Morris Plains School District,579
NJ-273385,2021-2022,Morris School District,5435.5
NJ-273410,2021-2022,Mount Arlington Public School District,340
NJ-273450,2021-2022,Mount Olive Township School District,4557
NJ-273460,2021-2022,Mountain Lakes Public School District,1370.5
NJ-273520,2021-2022,Netcong School District,277
NJ-273950,2021-2022,Parsippany-Troy Hills Township School District,6999.5
NJ-274080,2021-2022,Pequannock Township School District,2091
NJ-274330,2021-2022,Randolph Township School District,4303.5
NJ-274440,2021-2022,Riverdale School District,285
NJ-274480,2021-2022,Rockaway Borough School District,520
NJ-274490,2021-2022,Rockaway Township School District,2334
NJ-274560,2021-2022,Roxbury Township School District,3382
NJ-270785,2021-2022,School District Of The Chathams,3732
NJ-275520,2021-2022,Washington Township School District,1921
NJ-275660,2021-2022,West Morris Regional High School District,2172.5
NJ-275770,2021-2022,Wharton Borough School District,691
NJ-290185,2021-2022,Barnegat Township School District,3512.5
NJ-290210,2021-2022,Bay Head Borough School District,130
NJ-290230,2021-2022,Beach Haven School District,75
NJ-290320,2021-2022,Berkeley Township School District,2396
NJ-290530,2021-2022,Brick Township Public School District,8241
NJ-290770,2021-2022,Central Regional School District,2345.5
NJ-291150,2021-2022,Eagleswood Township School District,140
NJ-292350,2021-2022,Island Heights School District,121
NJ-292360,2021-2022,Jackson Township School District,7389
NJ-292480,2021-2022,Lacey Township School District,3795.5
NJ-292500,2021-2022,Lakehurst School District,411
NJ-292520,2021-2022,Lakewood Township School District,4942
NJ-292550,2021-2022,Lavallette Borough School District,141
NJ-292690,2021-2022,Little Egg Harbor Township School District,1672
NJ-292760,2021-2022,Long Beach Island Consolidated School District,198
NJ-292940,2021-2022,Manchester Township School District,2794
NJ-293790,2021-2022,Ocean County Vocational Technical School District,1389
NJ-293800,2021-2022,Ocean Gate School District,125
NJ-293820,2021-2022,Ocean Township School District,514
NJ-294105,2021-2022,Pinelands Regional School District,1567
NJ-294190,2021-2022,Plumsted Township School District,1080
NJ-294220,2021-2022,Point Pleasant Beach School District,709.5
NJ-294210,2021-2022,Point Pleasant Borough School District,2690
NJ-294710,2021-2022,Seaside Heights School District,213
NJ-294950,2021-2022,Southern Regional School District,2798.5
NJ-295020,2021-2022,Stafford Township School District,2336
NJ-295190,2021-2022,Toms River Regional School District,14391
NJ-295220,2021-2022,Tuckerton Borough School District,298
NJ-310420,2021-2022,Bloomingdale School District,551
NJ-310900,2021-2022,Clifton Public School District,10393
NJ-311920,2021-2022,Haledon Public School District,1016
NJ-312100,2021-2022,Hawthorne Public School District,2201
NJ-312510,2021-2022,Lakeland Regional High School District,898
NJ-312700,2021-2022,Little Falls Township Public School District,898
NJ-313640,2021-2022,North Haledon School District,573
NJ-313975,2021-2022,Northern Region Educational Services Commission,60
NJ-313970,2021-2022,Passaic City School District,12765
NJ-313980,2021-2022,Passaic County Manchester Regional High School District,748
NJ-313995,2021-2022,Passaic County Technical-Vocational School District,4437
NJ-313990,2021-2022,Passaic Valley Regional High School District #1,1005
NJ-314010,2021-2022,Paterson Public School District,24495
NJ-314230,2021-2022,Pompton Lakes School District,1765.5
NJ-314270,2021-2022,Prospect Park Public School District,800
NJ-314400,2021-2022,Ringwood School District,1066
NJ-315200,2021-2022,Totowa Public School District,936
NJ-315440,2021-2022,Wanaque School District,851
NJ-315570,2021-2022,Wayne Township Public School District,7500.5
NJ-315650,2021-2022,West Milford Township Public School District,3003
NJ-315690,2021-2022,Woodland Park School District,1194
NJ-330060,2021-2022,Alloway Twp School District,286
NJ-331350,2021-2022,Elsinboro Township School District,121
NJ-332950,2021-2022,Mannington Township School District,174
NJ-333860,2021-2022,Oldmans Township School District,294
NJ-334070,2021-2022,Penns Grove-Carneys Point Regional School District,2164
NJ-334075,2021-2022,Pennsville School District,1772.5
NJ-334150,2021-2022,Pittsgrove Township School District,1659.5
NJ-334280,2021-2022,Quinton Township School District,273
NJ-334630,2021-2022,Salem City School District,1200.5
NJ-334635,2021-2022,Salem County Special Services School District,185
NJ-334640,2021-2022,Salem County Vocational Technical School District,749.5
NJ-332800,2021-2022,The Lower Alloways Creek School District,144
NJ-335320,2021-2022,Upper Pittsgrove Twp School District,322
NJ-335910,2021-2022,Woodstown-Pilesgrove Regional School District,1464.5
NJ-350240,2021-2022,Bedminster Township Public School District,478
NJ-350350,2021-2022,Bernards Township School District,4715
NJ-350490,2021-2022,Bound Brook School District,1954
NJ-350510,2021-2022,Branchburg Township School District,1303
NJ-350555,2021-2022,Bridgewater-Raritan Regional School District,8057.5
NJ-351610,2021-2022,Franklin Township Public School District,6980.5
NJ-351810,2021-2022,Green Brook Township Public School District,726
NJ-352170,2021-2022,Hillsborough Township Public School District,7180.5
NJ-353000,2021-2022,Manville School District,1581.5
NJ-353320,2021-2022,Montgomery Township School District,4529.5
NJ-353670,2021-2022,North Plainfield School District,3412
NJ-354805,2021-2022,Somerset County Educational Services Commission School Distr,80
NJ-354810,2021-2022,Somerset County Vocational And Technical School District,502.5
NJ-354815,2021-2022,Somerset Hills Regional School District,1716
NJ-354820,2021-2022,Somerville Public School District,2132.5
NJ-354850,2021-2022,South Bound Brook Public School District,423
NJ-355470,2021-2022,Warren Township School District,1540
NJ-355540,2021-2022,Watchung Borough School District,610
NJ-355550,2021-2022,Watchung Hills Regional High School District,1811
NJ-370090,2021-2022,Andover Regional School District,413
NJ-370640,2021-2022,Byram Township School District,810
NJ-371560,2021-2022,Frankford Township Consolidated School District,503
NJ-371570,2021-2022,Franklin Borough School District,477
NJ-371630,2021-2022,Fredon Township School District,186
NJ-371800,2021-2022,Green Township School District,388
NJ-371930,2021-2022,Hamburg School District,246
NJ-371980,2021-2022,Hampton Township School District,300
NJ-372030,2021-2022,Hardyston Township School District,594
NJ-372165,2021-2022,High Point Regional High School District,806.5
NJ-372240,2021-2022,Hopatcong Borough School District,1397
NJ-372465,2021-2022,Kittatinny Regional School District,791.5
NJ-372490,2021-2022,Lafayette Township School District,202
NJ-372615,2021-2022,Lenape Valley Regional High School District,652
NJ-373300,2021-2022,Montague Township School District,272
NJ-373590,2021-2022,Newton Public School District,1543
NJ-375105,2021-2022,Northern Hills Academy School District,38
NJ-373840,2021-2022,Ogdensburg Borough School District,265
NJ-374650,2021-2022,Sandyston-Walpack Consolidated School District,128
NJ-374960,2021-2022,Sparta Township Public School District,3212
NJ-375030,2021-2022,Stanhope School District,299
NJ-375040,2021-2022,Stillwater Township School District,266
NJ-375110,2021-2022,Sussex County Technical School District,705
NJ-375100,2021-2022,Sussex-Wantage Regional School District,1020
NJ-375360,2021-2022,Vernon Township School District,2896
NJ-375435,2021-2022,Wallkill Valley Regional High School,616
NJ-390310,2021-2022,Berkeley Heights School District,2485
NJ-390850,2021-2022,Clark Township Public School District,2219.5
NJ-390980,2021-2022,Cranford Public School District,3712.5
NJ-391320,2021-2022,Elizabeth Public Schools,27581
NJ-391710,2021-2022,Garwood Boro,354
NJ-392190,2021-2022,Hillside Public School District,2960.5
NJ-392420,2021-2022,Kenilworth School District,1437
NJ-392660,2021-2022,Linden Public School District,5955
NJ-393395,2021-2022,Morris-Union Jointure Commisson School District,202
NJ-393470,2021-2022,Mountainside School District,729
NJ-393560,2021-2022,New Providence School District,2324.5
NJ-394160,2021-2022,Plainfield Public School District,9701
NJ-394290,2021-2022,Rahway Public School District,4012
NJ-394550,2021-2022,Roselle Park Public School District,1977
NJ-394540,2021-2022,Roselle Public School District,2883
NJ-394670,2021-2022,Scotch Plains-Fanwood School District,5423.5
NJ-395000,2021-2022,Springfield Public School District,2152.5
NJ-395090,2021-2022,Summit Public School District,3867
NJ-395290,2021-2022,Township Of Union School District,7327
NJ-395245,2021-2022,Union County Educational Services Commission,298
NJ-395260,2021-2022,Union County Vocational-Technical School District,1924.5
NJ-395730,2021-2022,Westfield Public School District,5842
NJ-395810,2021-2022,Winfield Township,143
NJ-410030,2021-2022,Allamuchy Township School District,420
NJ-410070,2021-2022,Alpha Borough School District,190
NJ-410280,2021-2022,Belvidere School District,594
NJ-410400,2021-2022,Blairstown Elementary Township School District,431
NJ-411620,2021-2022,Franklin Township School District,198
NJ-411670,2021-2022,Frelinghuysen Township School District,128
NJ-411785,2021-2022,Great Meadows Regional School District,639
NJ-411840,2021-2022,Greenwich Township School District,663
NJ-411870,2021-2022,Hackettstown Public School District,1987
NJ-412040,2021-2022,Harmony Township School District,200
NJ-412250,2021-2022,Hope Township School District,128
NJ-412470,2021-2022,Knowlton Township School District,164
NJ-412790,2021-2022,Lopatcong Township School District,705
NJ-412970,2021-2022,Mansfield Township Elementary School District,547
NJ-413675,2021-2022,North Warren Regional School District,658
NJ-413890,2021-2022,Oxford Township School District,249
NJ-414100,2021-2022,Phillipsburg School District,3940.5
NJ-414200,2021-2022,Pohatcong Township School District,301
NJ-415460,2021-2022,Warren County Vocational Technical School,440
NJ-415465,2021-2022,Warren Hills Regional School District,1641
NJ-415480,2021-2022,Washington Borough School District,518
NJ-415530,2021-2022,Washington Township School District,391
NJ-415780,2021-2022,White Township Consolidated School District,253
NJ-End of worksheetNA,2021-2022,NA,NA
NJ-010010,2020-2021,Absecon Public Schools District,887
NJ-010110,2020-2021,Atlantic City School District,6450
NJ-010120,2020-2021,Atlantic County Vocational School District,1713
NJ-010125,2020-2021,Atlantic County Special Services School District,306
NJ-010570,2020-2021,Brigantine Public School District,444
NJ-010590,2020-2021,Buena Regional School District,1636
NJ-011300,2020-2021,Egg Harbor City School District,509
NJ-011310,2020-2021,Egg Harbor Township School District,7109
NJ-011410,2020-2021,Estell Manor School District,189
NJ-011540,2020-2021,Folsom Borough School District,385
NJ-011690,2020-2021,Galloway Township Public School District,3261
NJ-011790,2020-2021,Greater Egg Harbor Regional High School District,3004
NJ-011940,2020-2021,Hamilton Township School District,2857
NJ-011960,2020-2021,Hammonton School District,3383
NJ-012680,2020-2021,Linwood City School District,807
NJ-012910,2020-2021,Mainland Regional High School,1239
NJ-013020,2020-2021,Margate City School District,382
NJ-013480,2020-2021,Mullica Township School District,651
NJ-013720,2020-2021,Northfield City School District,907
NJ-014180,2020-2021,Pleasantville Public School District,3531
NJ-014240,2020-2021,Port Republic School District,105
NJ-014800,2020-2021,Somers Point School District,787
NJ-015350,2020-2021,Ventnor City School District,618
NJ-015760,2020-2021,Weymouth Township School District,143
NJ-030040,2020-2021,Allendale Public School District,849
NJ-030080,2020-2021,Alpine School District,151
NJ-030285,2020-2021,Bergen County Special Services School District,688
NJ-030290,2020-2021,Bergen County Vocational Technical School District,2446.5
NJ-030300,2020-2021,Bergenfield Borough School District,3652
NJ-030440,2020-2021,Bogota Public School District,1199
NJ-030740,2020-2021,Carlstadt Publicschool District,516
NJ-030745,2020-2021,Carlstadt-East Rutherford Regional High School District,570.5
NJ-030890,2020-2021,Cliffside Park School District,3113.5
NJ-030930,2020-2021,Closter Public School District,1142
NJ-030990,2020-2021,Cresskill Public School District,1775.5
NJ-031070,2020-2021,Demarest School District,691
NJ-031130,2020-2021,Dumont Public School District,2463
NJ-031230,2020-2021,East Rutherford School District,763
NJ-031270,2020-2021,Edgewater School District,679
NJ-031345,2020-2021,Elmwood Park School District,2522
NJ-031360,2020-2021,Emerson Public School District,1027
NJ-031370,2020-2021,Englewood Public School District,2950.5
NJ-031380,2020-2021,Englewood Cliffs School District,431
NJ-031450,2020-2021,Fair Lawn Public School District,5251
NJ-031470,2020-2021,Fairview Public School District,1521
NJ-031550,2020-2021,Fort Lee School District,4078
NJ-031580,2020-2021,Franklin Lakes School District,1160
NJ-031700,2020-2021,Garfield Public School District,4715
NJ-031760,2020-2021,Glen Rock Public School District,2543
NJ-031860,2020-2021,Hackensack School District,5378
NJ-032050,2020-2021,Harrington Park School District,558
NJ-032080,2020-2021,Hasbrouck Heights School District,1700.5
NJ-032090,2020-2021,Haworth Public School District,392
NJ-032180,2020-2021,Hillsdale School District,1081
NJ-032200,2020-2021,Ho-Ho-Kus School District,587
NJ-032620,2020-2021,Leonia Public School District,2081.5
NJ-032710,2020-2021,Little Ferry Public School District,811
NJ-032740,2020-2021,Lodi School District,2950.5
NJ-032860,2020-2021,Lyndhurst School District,2449.5
NJ-032900,2020-2021,Mahwah Township Public School District,2757
NJ-033060,2020-2021,Maywood School District,947
NJ-033170,2020-2021,Midland Park School District,837
NJ-033330,2020-2021,Montvale Board Of Education School District,935
NJ-033350,2020-2021,Moonachie School District,351
NJ-033550,2020-2021,New Milford Public School District,2004.5
NJ-033600,2020-2021,North Arlington School District,1879.5
NJ-033700,2020-2021,Northern Highlands Regional High School District,1363.5
NJ-033710,2020-2021,Northern Valley Regional High School District,2257
NJ-033730,2020-2021,Northvale Public School District,519
NJ-033740,2020-2021,Norwood Public School District,608
NJ-033760,2020-2021,Oakland Public School District,1299
NJ-033850,2020-2021,Old Tappan Public School District,651
NJ-033870,2020-2021,Oradell Public School District,738
NJ-033910,2020-2021,Palisades Park School District,1729
NJ-033930,2020-2021,Paramus Public School District,3594
NJ-033940,2020-2021,Park Ridge School District,1218
NJ-033960,2020-2021,Pascack Valley Regional High School District,1916
NJ-034300,2020-2021,Ramapo Indian Hills Regional High School District,2203.5
NJ-034310,2020-2021,Ramsey School District,2581
NJ-034370,2020-2021,Ridgefield School District,1601
NJ-034380,2020-2021,Ridgefield Park Public School District,2143.5
NJ-034390,2020-2021,Ridgewood Public School District,5555
NJ-034405,2020-2021,River Dell Regional School District,1595.5
NJ-034410,2020-2021,River Edge School District,1250
NJ-034430,2020-2021,River Vale Public School District,1057
NJ-034470,2020-2021,Rochelle Park School District,484
NJ-034600,2020-2021,Rutherford School District,2514.5
NJ-034610,2020-2021,Saddle Brook School District,1651.5
NJ-034620,2020-2021,Saddle River School District,129
NJ-034845,2020-2021,South  Bergen Jointure Commission School District,340
NJ-034870,2020-2021,South Hackensack School District,273
NJ-035150,2020-2021,Teaneck School District,3704
NJ-035160,2020-2021,Tenafly Public School District,3512
NJ-035330,2020-2021,Upper Saddle River School District,1099
NJ-035410,2020-2021,Waldwick School District,1595.5
NJ-035430,2020-2021,Wallington Boro School District,1197
NJ-035755,2020-2021,Westwood Regional School District,2758.5
NJ-035830,2020-2021,Wood-Ridge School District,1191.5
NJ-035880,2020-2021,Woodcliff Lake School District,690
NJ-035920,2020-2021,Wyckoff Township Public School District,1908
NJ-050380,2020-2021,Beverly City School District,317
NJ-050475,2020-2021,Bordentown Regional School District,2342
NJ-050600,2020-2021,Burlington City Public School District,1690
NJ-050605,2020-2021,Burlington County Special Services School District,520
NJ-050610,2020-2021,Burlington County Institute Of Technology School District,2137
NJ-050620,2020-2021,Burlington Township School District,3580
NJ-050830,2020-2021,Chesterfield Township School District,715
NJ-050840,2020-2021,Cinnaminson Township School District,2686
NJ-051030,2020-2021,Delanco Township School District,398
NJ-051060,2020-2021,Delran Township School District,2925
NJ-051250,2020-2021,Eastampton Township School District,548
NJ-051280,2020-2021,Edgewater Park Township School District,922
NJ-051420,2020-2021,Evesham Township School District,4291
NJ-051520,2020-2021,Florence Township School District,1465
NJ-051910,2020-2021,Hainesport Township School District,512
NJ-052610,2020-2021,Lenape Regional High School District,6783
NJ-052850,2020-2021,Lumberton Township Board Of Education,1088
NJ-052960,2020-2021,Mansfield Township School District,499
NJ-053010,2020-2021,Maple Shade School District,2323
NJ-053070,2020-2021,Medford Lakes School District,486
NJ-053080,2020-2021,Medford Township School District,2497
NJ-053360,2020-2021,Moorestown Township Public School District,3812
NJ-053430,2020-2021,Mount Holly Township Public School District,1029
NJ-053440,2020-2021,Mount Laurel Township School District,4061
NJ-053540,2020-2021,New Hanover Township,166
NJ-053650,2020-2021,North Hanover Township School District,1125
NJ-053690,2020-2021,Northern Burlington County Regional School District,2146
NJ-053920,2020-2021,Palmyra Public School District,930
NJ-054050,2020-2021,Pemberton Township School District,4355
NJ-054320,2020-2021,Rancocas Valley Regional High School District,2069
NJ-054450,2020-2021,Riverside Township School District,1358
NJ-054460,2020-2021,Riverton School District,290
NJ-054740,2020-2021,Shamong Township School District,691
NJ-054930,2020-2021,Southampton Township School District,701
NJ-055010,2020-2021,Springfield Township School District,226
NJ-055130,2020-2021,Tabernacle Township School District,655
NJ-055720,2020-2021,Westampton Township Public School District,983
NJ-055805,2020-2021,Willingboro Public School District,3372
NJ-055890,2020-2021,Woodland Township School District,118
NJ-070150,2020-2021,Audubon Public School District,1444
NJ-070190,2020-2021,Barrington School District,563
NJ-070260,2020-2021,Bellmawr Public School District,1166
NJ-070330,2020-2021,Berlin Borough School District,807
NJ-070340,2020-2021,Berlin Township School District,604
NJ-070390,2020-2021,Black Horse Pike Regional School District,3478
NJ-070580,2020-2021,Brooklawn Public School District,285
NJ-070680,2020-2021,Camden City School District,7343
NJ-070700,2020-2021,Camden County Technical School District,2245
NJ-070800,2020-2021,Cherry Hill School District,10469
NJ-070880,2020-2021,Clementon Elementary School District,516
NJ-070940,2020-2021,Collingswood Public School District,2200
NJ-071255,2020-2021,Eastern Camden County Regional School District,1926
NJ-071720,2020-2021,Gibbsboro Elementary School District,276
NJ-071770,2020-2021,Gloucester City Public School District,2220
NJ-071780,2020-2021,Gloucester Township Public Schools,6368
NJ-071799,2020-2021,Kipp: Cooper Norcross A New Jersey Nonprofit Corporation,1775
NJ-071801,2020-2021,Camden Prep Inc.,949
NJ-071802,2020-2021,Mastery Schools Of Camden Inc.,2737
NJ-071880,2020-2021,Haddon Heights School District,1514
NJ-071890,2020-2021,Haddon Township School District,1971
NJ-071900,2020-2021,Haddonfield School District,2645
NJ-072540,2020-2021,Laurel Springs School District,167
NJ-072560,2020-2021,Lawnside School Distric,308
NJ-072670,2020-2021,Lindenwold Public School District,2926
NJ-072890,2020-2021,Magnolia School District,375
NJ-073110,2020-2021,Merchantville School District,403
NJ-073420,2020-2021,Mt. Ephraim School District,421
NJ-073770,2020-2021,Oaklyn Public School District,277
NJ-074060,2020-2021,Pennsauken Township Board Of Education School District,4649
NJ-074110,2020-2021,Pine Hill School District,1807
NJ-074590,2020-2021,Runnemede Public School District,837
NJ-074790,2020-2021,Somerdale School District,459
NJ-075035,2020-2021,Sterling Regional School District,912
NJ-075080,2020-2021,Stratford School District,857
NJ-075400,2020-2021,Voorhees Township School District,2914
NJ-075560,2020-2021,Waterford Township School District,856
NJ-075820,2020-2021,Winslow Township School District,4606
NJ-075900,2020-2021,Woodlynne School District,393
NJ-090170,2020-2021,Avalon School District,77
NJ-090710,2020-2021,Cape May City School District,154
NJ-090715,2020-2021,Cape May County Special Services School District,221
NJ-090720,2020-2021,Cape May County Technical High School District,578
NJ-091080,2020-2021,Dennis Township School District,604
NJ-092820,2020-2021,Lower Cape May Regional School District,1230
NJ-092840,2020-2021,Lower Township Elementary School District,1495
NJ-093130,2020-2021,Middle Township Public School District,2458
NJ-093680,2020-2021,North Wildwood School District,193
NJ-093780,2020-2021,Ocean City School District,2039
NJ-095060,2020-2021,Stone Harbor School District,92
NJ-095340,2020-2021,Upper Township School District,1346
NJ-095610,2020-2021,West Cape May School District,79
NJ-095790,2020-2021,Wildwood City School District,834
NJ-095800,2020-2021,Wildwood Crest Borough School District,252
NJ-095840,2020-2021,Woodbine School District,210
NJ-110540,2020-2021,Bridgeton City School District,6134
NJ-110950,2020-2021,Commercial Township School District,459
NJ-110995,2020-2021,Cumberland County Board Of Vocational Education,972
NJ-110997,2020-2021,Cumberland Regional School District,1032
NJ-111020,2020-2021,Deerfield Township School District,271
NJ-111120,2020-2021,Downe Township School District,163
NJ-111460,2020-2021,Fairfield Township School District,480
NJ-111820,2020-2021,Greenwich Township School District,79
NJ-112270,2020-2021,Hopewell Township School District,496
NJ-112570,2020-2021,Lawrence Township School District,484
NJ-113050,2020-2021,Maurice River Township School District,394
NJ-113230,2020-2021,Millville School District,4969
NJ-115070,2020-2021,Stow Creek Township School District,124
NJ-115300,2020-2021,Upper Deerfield Township School District,813
NJ-115390,2020-2021,Vineland Public School District,10183
NJ-130250,2020-2021,Belleville Public School District,4486
NJ-130410,2020-2021,Bloomfield Township School District,6119
NJ-130660,2020-2021,Caldwell-West School District,2627.5
NJ-130760,2020-2021,Cedar Grove Township School District,1569
NJ-131210,2020-2021,East Orange School District,9196
NJ-131387,2020-2021,Essex Regional Educational Services Commission,70
NJ-131390,2020-2021,Essex County Schools Of Technology,2357.5
NJ-131400,2020-2021,Essex Fells School District,251
NJ-131465,2020-2021,Fairfield Public School District,697
